x,8.9A,15.6A,25.1A,35.1A
0.1508,,,,20.14834
0.2513,,19.90103,20.02768,
0.7035,,,,20.28692
1.2563,,,20.17219,
1.3568,,,,20.44961
1.407,,20.06962,,
2.5126,,,20.36489,
2.7136,,,,20.57594
2.7638,,20.23818,,
3.6181,,,20.4551,
3.6683,20.07511,,,
4.1206,,,,20.66607
4.5729,,20.3644,,
5.0754,,,20.52109,
5.1759,20.15315,,,
5.5779,,,,20.72001
6.6332,,20.42421,,
6.7337,,,20.5991,
7.0352,,,,20.76187
7.1357,20.23109,,,
8.4422,,,20.64091,
8.5427,,20.47804,,
8.8945,20.26685,,,
9.196,,,,20.78548
9.8492,,,20.67072,
10.7035,,20.5137,,
10.9045,,,,20.80919
11.005,20.31459,,,
11.4573,,,20.69446,
12.3618,,20.55552,,20.80884
12.9648,20.33222,,,
13.3668,,,20.70606,
14.3216,,,,20.78424
14.6734,,20.59115,,
15.1256,20.34376,,,
15.2764,,,20.71767,
16.1809,,,,20.75967
16.8342,,20.62079,,
17.0854,,,20.71723,
17.1357,20.34327,,,
18.0905,,,,20.70492
18.9447,,20.59615,,
19.0955,20.34883,,,
19.2965,,,20.7167,
19.7487,,,,20.62612
20.804,,,20.68014,
20.9548,,20.55948,,
21.2563,20.34831,,,
21.7588,,,,20.53516
22.2111,,,20.63758,
22.9146,,20.47457,,
23.1658,20.2996,,,
23.6181,,,,20.44424
23.6683,,,20.58898,
24.7739,,,20.51634,
24.8241,20.21476,,,
25.3266,,20.36542,,20.28701
26.0804,,,20.41349,
26.6332,20.11179,,,
27.2864,,20.24432,,20.12369
27.5377,,,20.31061,
27.9899,19.99083,,,
28.6432,,,20.21987,
29.0955,,,,19.97851
29.4472,,20.10508,,
29.6985,19.8517,,,
30.1508,,,20.11094,
30.603,,,,19.82736
30.9045,19.70666,,,
31.3065,,19.95988,,
31.7588,,,19.95977,
31.809,,,,19.7185
32.3618,19.59171,,,
32.8643,,,19.85094,
33.0151,,19.77852,,
33.0653,,,,19.56741
33.7688,,,19.73612,
34.5729,,19.60324,,
34.6734,19.38609,,,
35.0251,,,,19.30759
35.3266,,,19.54878,
36.4824,,19.37359,,
36.5829,,,,19.07199
36.8844,19.21064,,,
37.1357,,,19.32518,
37.8894,,,,18.87264
38.2412,,,19.16206,
39.0452,,,,18.6673
39.2462,,,18.96882,
40.4523,,,,18.47999
40.7035,,,18.75737,
40.9548,18.79953,,,
41.4573,,,,18.30484
41.9095,,,18.63042,
41.9598,,18.53391,,
42.7136,,,,18.15978
42.9648,,,18.45526,
43.2663,18.61803,,,
43.5176,,18.31037,,
44.2211,,,,18.00863
44.3719,,,18.25588,
45.1759,18.44869,,,
45.2261,,18.17124,,
45.6281,,,18.09876,
46.4824,18.36394,,,
46.7839,,18.07436,,
47.1357,,,18.00793,
48.1407,,,17.9534,
48.191,18.30321,,,
48.4422,,18.03174,,
49.397,18.27276,,,
