x,10.5sccm,13.1sccm,14.9sccm,19.8sccm
-0.1192,,,,20.18894
0.0309,,,20.06257,
0.0803,19.95426,,,
0.1816,,19.99637,,
0.5885,,,,20.32123
0.8395,,,20.19484,
1.0401,20.07448,,,
1.1418,,20.15269,,
1.4983,,,,20.47756
1.7492,,,20.34516,
2.2019,20.20671,,,
2.3038,,20.30899,,
2.4581,,,,20.59778
2.6081,,,20.46539,
3.5151,20.35096,,,
3.5172,,,20.55553,
3.6674,,20.43518,,
3.6698,,,,20.68187
4.677,,20.49523,,
4.9286,20.42901,,,
4.981,,,20.62154,
5.1841,,,,20.74787
5.5352,,20.53724,,
6.1906,20.48903,,,
6.2934,,,20.67554,
6.6982,,,,20.79582
7.0494,,20.59121,,
7.5533,20.53098,,,
7.7569,,,20.71146,
7.9597,,,,20.80771
8.2101,,20.62115,,
8.9158,20.55488,,,
9.17,,,20.74739,
9.4716,,20.63905,,
9.4734,,,,20.81354
10.682,20.58476,,,
10.935,,20.66294,,
10.936,,,20.75921,
11.0879,,,,20.81335
12.2975,,20.68685,,
12.2983,,,20.75905,
12.3473,20.62066,,,
12.9547,,,,20.80711
13.1553,,20.69276,,
13.7109,,,20.75286,
14.2158,,,,20.7889
14.2648,20.64449,,,
14.2655,,20.71068,,
15.0729,,,20.72863,
15.6783,,20.71652,,
15.7292,,,,20.76465
16.384,20.65025,,,
16.7376,,,20.69233,
16.9397,,,,20.72841
17.8978,,,20.66812,
18.0998,,,,20.68615
18.9064,,,20.61987,
19.1595,,20.70407,,
19.31,,,,20.61982
20.1672,,,20.57158,
20.3691,,,,20.57757
20.5216,,20.69187,,
21.1759,,,20.52934,
21.5304,,20.66167,,
21.6801,,,,20.4992
21.934,20.6556,,,
22.5893,,20.60137,,
23.0921,,,,20.42682
23.1431,,,20.48097,
23.3967,20.61331,,,
24.1024,,20.54704,,
24.2516,,,,20.33643
24.4543,,,20.42064,
24.7584,20.55298,,,
25.1614,,20.49878,,
25.4617,,,,20.25205
25.4626,,,20.3423,
26.0689,,20.43248,,
26.12,20.49265,,,
26.37,,,20.26397,
26.4193,,,,20.15567
27.1779,,20.33006,,
27.2797,20.41429,,,
27.3783,,,20.19165,
27.4778,,,,20.04723
28.2353,,,20.11935,
28.3878,,20.23365,,
28.641,20.32387,,,
28.7377,,,,19.9087
29.3949,,,20.03497,
29.4468,,20.17335,,
29.6495,20.2696,,,
30.0485,,,,19.80625
30.3541,,20.09502,,
30.7085,20.2093,,,
30.756,,,19.92049,
31.2111,,20.02272,,
31.2579,,,,19.65568
31.8177,20.13095,,,
31.9655,,,19.78195,
32.1183,,19.92634,,
32.5682,,,,19.50511
32.8744,,19.85405,,
33.0743,,,19.6675,
33.0779,20.01648,,,
33.6261,,,,19.34252
33.9831,,19.72756,,
34.2837,,,19.51693,
34.3885,19.89598,,,
34.7844,,,,19.13781
34.8399,,19.6372,,
35.2411,,,19.39046,
35.5475,19.75746,,,
35.7974,,19.52277,,
35.9431,,,,18.96318
36.1481,,,19.27604,
36.6034,,19.39632,,
36.8497,,,,18.80664
36.9037,,,19.16162,
36.9083,19.61289,,,
37.4598,,19.26986,,
37.7096,,,19.01712,
37.9575,,,,18.58388
38.1684,19.4924,,,
38.3664,,19.1073,,
38.5156,,,18.89669,
39.015,,,,18.39121
39.271,,,18.75821,
39.277,19.34786,,,
39.3236,,18.96879,,
40.073,,,,18.23465
40.1334,19.21539,,,
40.1798,,18.81827,,
40.329,,,18.60766,
40.9354,,18.69784,,
41.1351,,,18.48723,
41.3427,19.0588,,,
41.4337,,,,18.07805
41.9436,,18.60747,,
41.9915,,,18.36077,
42.1486,18.92634,,,
42.5479,,18.49307,,
42.7445,,,,17.98162
42.8484,,,18.27643,
42.8536,18.79388,,,
43.1527,,18.43283,,
43.6594,18.64938,,,
43.7053,,,18.19209,
43.7572,,18.33649,,
44.1061,,,,17.91527
44.1094,,18.24018,,
44.4151,18.54098,,,
44.4614,,,18.12582,
44.7138,,18.13782,,
45.4174,,,,17.86096
45.5709,,18.07755,,
45.6246,18.40245,,,
46.68,,17.98716,,
46.683,18.288,,,
46.7289,,,,17.83072
47.386,,17.95098,,
47.8928,18.17956,,,
48.2929,,,,17.83053
48.5461,,17.92075,,
48.8002,18.09521,,,
