############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Ionization fraction profiles in spot mode 
### DATA
# d,log10(alpha at Tgas = 0.1 eV), log10(alpha at Tgas = Te)
############################
d,alpha_01eV,alpha_Te
9.3592,-2.671,-1.05992
9.4268,-2.69305,-1.0813
9.4603,-2.70701,-1.09255
9.5024,-2.72565,-1.10406
9.5615,-2.75092,-1.11706
9.5781,-2.75824,-1.12056
9.6537,-2.79084,-1.1389
9.6628,-2.79399,-1.14157
9.7548,-2.82347,-1.17157
9.7639,-2.82681,-1.1742
9.8305,-2.85607,-1.19034
9.8652,-2.87118,-1.1987
9.9061,-2.88867,-1.21155
9.941,-2.90415,-1.22318
9.9818,-2.92127,-1.23451
10.0423,-2.9412,-1.24769
10.0576,-2.94574,-1.25032
10.1437,-2.97309,-1.26407
10.1587,-2.97837,-1.2672
10.245,-3.01116,-1.28858
10.2849,-3.02729,-1.2979
10.3462,-3.05358,-1.31308
10.3605,-3.05989,-1.31719
10.4362,-3.09249,-1.34185
10.4473,-3.09726,-1.34572
10.5119,-3.12508,-1.367
10.5232,-3.12998,-1.37019
10.5875,-3.15768,-1.38625
10.6244,-3.17327,-1.3947
10.6884,-3.19844,-1.40939
10.7257,-3.2106,-1.4192
10.7643,-3.22291,-1.43093
10.8268,-3.24936,-1.45184
10.8399,-3.25551,-1.45632
10.9026,-3.28346,-1.47631
10.9156,-3.28811,-1.48
10.9914,-3.31258,-1.49837
11.0039,-3.3187,-1.50082
11.0669,-3.3533,-1.51159
11.1148,-3.36942,-1.52128
11.1427,-3.37778,-1.53017
11.1937,-3.3989,-1.54982
11.2183,-3.41038,-1.55755
11.294,-3.44297,-1.5786
11.3075,-3.44835,-1.58246
11.3697,-3.47557,-1.60199
11.4086,-3.49751,-1.6151
11.4451,-3.5163,-1.62703
11.4844,-3.53,-1.63957
11.521,-3.54077,-1.65135
11.5855,-3.56825,-1.6722
11.5966,-3.57337,-1.67574
11.6614,-3.60272,-1.69668
11.7226,-3.63041,-1.7171
11.7625,-3.64857,-1.72931
11.7983,-3.663,-1.73901
11.8637,-3.68376,-1.75381
11.8741,-3.68748,-1.75582
11.9397,-3.71577,-1.77016
11.9498,-3.72008,-1.77308
12.0254,-3.75267,-1.79763
12.0408,-3.76321,-1.8028
12.0756,-3.78524,-1.8142
12.1166,-3.79961,-1.82727
12.1767,-3.81787,-1.84663
12.2177,-3.83319,-1.8599
12.2524,-3.85047,-1.8711
12.2936,-3.87739,-1.88438
12.3026,-3.88303,-1.88729
12.3783,-3.91563,-1.9117
12.3947,-3.91935,-1.91701
12.4795,-3.94014,-1.94446
12.4958,-3.94709,-1.94964
12.5801,-3.99714,-1.97668
12.5969,-4.00859,-1.98227
12.6303,-4.02971,-1.99359
12.706,-4.06231,-2.01855
12.7485,-4.07542,-2.03122
12.8071,-4.09494,-2.04519
12.8498,-4.12288,-2.05573
12.8573,-4.1275,-2.05832
12.9254,-4.15697,-2.08832
12.9329,-4.1601,-2.09121
12.9833,-4.18454,-2.10794
13.0265,-4.20247,-2.12096
13.059,-4.21714,-2.13113
13.1023,-4.24106,-2.14543
13.1344,-4.25786,-2.15588
13.1782,-4.27578,-2.1699
13.2101,-4.29046,-2.18015
13.2603,-4.32302,-2.19637
13.2793,-4.3282,-2.20254
13.3616,-4.34753,-2.22927
13.3804,-4.35479,-2.23517
13.4562,-4.3934,-2.25964
13.4623,-4.39641,-2.26207
13.5318,-4.42564,-2.29224
13.538,-4.42901,-2.29477
