############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Ionization fraction profiles in plume mode 
### DATA
# d,log10(alpha at Tgas = 0.1 eV), log10(alpha at Tgas = Te)
############################
d,alpha_0.1eV,alpha_Te
8.4159,-2.91304,-1.22462
8.462,-2.93491,-1.23508
8.4657,-2.93718,-1.23595
8.5405,-2.96939,-1.25368
8.6369,-2.99251,-1.27543
8.6404,-2.9936,-1.27613
8.7152,-3.0258,-1.28763
8.7369,-3.03373,-1.29161
8.7901,-3.04998,-1.30319
8.8899,-3.08221,-1.32677
8.9119,-3.08779,-1.33197
9.0086,-3.10995,-1.35523
9.0118,-3.11079,-1.35617
9.0632,-3.12959,-1.37341
9.0867,-3.13771,-1.38035
9.1334,-3.15326,-1.39128
9.1867,-3.17382,-1.40456
9.1942,-3.17642,-1.40685
9.2785,-3.2006,-1.43469
9.2865,-3.20282,-1.43679
9.3612,-3.2268,-1.44926
9.3866,-3.23601,-1.45297
9.4865,-3.27459,-1.47718
9.489,-3.27562,-1.47797
9.5638,-3.30783,-1.50254
9.5863,-3.31598,-1.50941
9.6387,-3.33201,-1.52286
9.6863,-3.34615,-1.53362
9.7385,-3.36424,-1.54587
9.7862,-3.38631,-1.55783
9.8133,-3.39645,-1.5649
9.8862,-3.41332,-1.58203
9.9133,-3.42065,-1.58679
9.9862,-3.45225,-1.59821
9.9881,-3.45286,-1.59854
10.0862,-3.47654,-1.62242
10.088,-3.47707,-1.62291
10.1628,-3.50927,-1.64322
10.2361,-3.54086,-1.66274
10.2376,-3.54148,-1.66314
10.3124,-3.57368,-1.68138
10.336,-3.58555,-1.68695
10.3871,-3.60589,-1.6994
10.4609,-3.62267,-1.71921
10.4871,-3.63009,-1.72775
10.5358,-3.66165,-1.74339
10.5368,-3.66227,-1.74364
10.6116,-3.69447,-1.76049
10.6357,-3.70519,-1.7676
10.6864,-3.72668,-1.79107
10.7105,-3.73486,-1.7998
10.7862,-3.75891,-1.81537
10.8355,-3.77909,-1.82404
10.861,-3.79112,-1.82979
10.9104,-3.81332,-1.84822
10.9358,-3.82332,-1.86049
10.9852,-3.83921,-1.88042
11.0107,-3.8475,-1.88737
11.0852,-3.87596,-1.90463
11.1104,-3.88776,-1.91185
11.1602,-3.91994,-1.92824
11.185,-3.93167,-1.93686
11.2349,-3.95214,-1.95319
11.2599,-3.96309,-1.96104
11.3097,-3.98435,-1.97697
11.3597,-4.00189,-1.99327
11.4096,-4.01658,-2.00973
11.4346,-4.02293,-2.01745
11.4845,-4.04076,-2.03227
11.5341,-4.08096,-2.04952
11.5345,-4.08114,-2.04969
11.6092,-4.1003,-2.08189
11.634,-4.10517,-2.08663
11.7089,-4.12935,-2.09798
11.7093,-4.12951,-2.09807
11.7837,-4.16155,-2.12214
11.8091,-4.17163,-2.1303
11.8585,-4.19376,-2.14169
11.9082,-4.22593,-2.15422
11.9091,-4.22631,-2.15451
12.008,-4.25817,-2.19451
12.0088,-4.25846,-2.19478
12.1077,-4.30646,-2.21868
12.1088,-4.30714,-2.21898
12.1574,-4.33864,-2.2378
12.1836,-4.35036,-2.25119
12.2322,-4.37084,-2.27441
12.2584,-4.38344,-2.28339
12.3069,-4.41107,-2.29517
12.3566,-4.44325,-2.30711
12.3583,-4.44411,-2.3076
12.4314,-4.47545,-2.33891
12.4331,-4.47622,-2.3398
12.5079,-4.51242,-2.37201
12.5217,-4.51922,-2.37573
12.5684,-4.54085,-2.38632
12.6078,-4.56076,-2.39622
