############################
### DOCUMENT
# [1] D. SIEGFRIED and P. WILBUR, “An investigation of mercury hollow cathode phenomena,” 13th Int. Electr. Propuls. Conf., 1978.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron temperature in spot mode 
### DATA
# d (mm), Te (eV)
############################
d,TeV
1.5359,0.72795
1.5402,0.72763
1.5446,0.72729
1.5489,0.72692
1.5533,0.72654
1.5576,0.72613
1.562,0.72571
1.5663,0.7253
1.5707,0.7249
1.575,0.72454
1.5794,0.72423
1.5837,0.72397
1.5881,0.72376
1.5924,0.7236
1.5967,0.72347
1.6011,0.72338
1.6054,0.7233
1.6098,0.72325
1.6141,0.72321
1.6185,0.72319
1.6228,0.72317
1.6272,0.72317
1.6315,0.72317
1.6359,0.72318
1.6402,0.72319
1.6446,0.72321
1.6489,0.72323
1.6533,0.72326
1.6576,0.72329
1.662,0.72332
1.6663,0.72335
1.6707,0.72339
1.675,0.72342
1.6794,0.72346
1.6837,0.7235
1.6881,0.72353
1.6924,0.72357
1.6967,0.7236
1.7011,0.72364
1.7054,0.72367
1.7098,0.7237
1.7141,0.72373
1.7185,0.72376
1.7228,0.72378
1.7272,0.72381
1.7315,0.72383
1.7359,0.72384
1.7402,0.72386
1.7446,0.72387
1.7489,0.72387
1.7533,0.72388
1.7576,0.72388
1.762,0.72387
1.7663,0.72386
1.7707,0.72385
1.775,0.72383
1.7794,0.7238
1.7837,0.72377
1.7881,0.72373
1.7924,0.72369
1.7967,0.72363
1.8011,0.72357
1.8054,0.72351
1.8098,0.72343
1.8141,0.72335
1.8185,0.72325
1.8228,0.72315
1.8272,0.72304
1.8315,0.72293
1.8359,0.7228
1.8402,0.72267
1.8446,0.72253
1.8489,0.72238
1.8533,0.72222
1.8576,0.72206
1.862,0.72189
1.8663,0.72172
1.8707,0.72154
1.875,0.72135
1.8794,0.72116
1.8837,0.72096
1.8881,0.72076
1.8924,0.72056
1.8967,0.72035
1.9011,0.72014
1.9054,0.71992
1.9098,0.7197
1.9141,0.71948
1.9185,0.71926
1.9228,0.71904
1.9272,0.71881
1.9315,0.71859
1.9359,0.71836
1.9402,0.71814
1.9446,0.71792
1.9489,0.7177
1.9533,0.71748
1.9576,0.71726
1.962,0.71705
1.9663,0.71684
1.9707,0.71663
1.975,0.71643
1.9794,0.71623
1.9837,0.71604
1.988,0.71585
1.9924,0.71567
1.9967,0.7155
2.0011,0.71533
2.0054,0.71518
2.0098,0.71503
2.0141,0.71489
2.0185,0.71475
2.0228,0.71463
2.0272,0.71452
2.0315,0.71441
2.0359,0.71432
2.0402,0.71423
2.0446,0.71415
2.0489,0.71408
2.0533,0.71402
2.0576,0.71397
2.062,0.71392
2.0663,0.71388
2.0707,0.71385
2.075,0.71382
2.0794,0.7138
2.0837,0.71378
2.088,0.71377
2.0924,0.71376
2.0967,0.71376
2.1011,0.71376
2.1054,0.71377
2.1098,0.71378
2.1141,0.71379
2.1185,0.71381
2.1228,0.71383
2.1272,0.71385
2.1315,0.71387
2.1359,0.7139
2.1402,0.71393
2.1446,0.71395
2.1489,0.71399
2.1533,0.71402
2.1576,0.71405
2.162,0.71408
2.1663,0.71411
2.1707,0.71415
2.175,0.71418
2.1794,0.71421
2.1837,0.71424
2.188,0.71427
2.1924,0.71429
2.1967,0.71432
2.2011,0.71434
2.2054,0.71436
2.2098,0.71437
2.2141,0.71439
2.2185,0.7144
2.2228,0.7144
2.2272,0.7144
2.2315,0.7144
2.2359,0.71439
2.2402,0.71438
2.2446,0.71436
2.2489,0.71433
2.2533,0.7143
2.2576,0.71426
2.262,0.71421
2.2663,0.71416
2.2707,0.7141
2.275,0.71403
2.2794,0.71395
2.2837,0.71387
2.288,0.71378
2.2924,0.71368
2.2967,0.71357
2.3011,0.71346
2.3054,0.71333
2.3098,0.7132
2.3141,0.71305
2.3185,0.7129
2.3228,0.71274
2.3272,0.71256
2.3315,0.71238
2.3359,0.71218
2.3402,0.71197
2.3446,0.71175
2.3489,0.71152
2.3533,0.71128
2.3576,0.71102
2.362,0.71074
2.3663,0.71045
2.3707,0.71014
2.375,0.70982
2.3794,0.70948
2.3837,0.70912
2.388,0.70873
2.3924,0.70833
2.3967,0.70791
2.4011,0.70745
2.4054,0.70698
2.4098,0.70647
2.4141,0.70593
2.4185,0.70536
2.4228,0.70475
2.4272,0.70411
2.4315,0.70344
2.4359,0.70276
2.4402,0.70206
2.4446,0.70137
2.4489,0.70068
2.4533,0.7
2.4576,0.69934
2.462,0.69871
2.4663,0.69809
2.4707,0.69751
2.475,0.69695
2.4793,0.69642
2.4837,0.69591
2.488,0.69543
2.4924,0.69497
2.4967,0.69454
2.5011,0.69413
2.5054,0.69374
2.5098,0.69337
2.5141,0.69302
2.5185,0.69268
2.5228,0.69237
2.5272,0.69206
2.5315,0.69178
2.5359,0.6915
2.5402,0.69124
2.5446,0.69099
2.5489,0.69076
2.5533,0.69053
2.5576,0.69032
2.562,0.69012
2.5663,0.68992
2.5707,0.68974
2.575,0.68956
2.5793,0.68939
2.5837,0.68923
2.588,0.68908
2.5924,0.68893
2.5967,0.68879
2.6011,0.68866
2.6054,0.68854
2.6098,0.68842
2.6141,0.68831
2.6185,0.6882
2.6228,0.6881
2.6272,0.688
2.6315,0.68791
2.6359,0.68782
2.6402,0.68774
2.6446,0.68766
2.6489,0.68759
2.6533,0.68752
2.6576,0.68745
2.662,0.68739
2.6663,0.68733
2.6707,0.68728
2.675,0.68722
2.6793,0.68717
2.6837,0.68713
2.688,0.68708
2.6924,0.68704
2.6967,0.687
2.7011,0.68696
2.7054,0.68693
2.7098,0.68689
2.7141,0.68686
2.7185,0.68683
2.7228,0.68681
2.7272,0.68678
2.7315,0.68676
2.7359,0.68674
2.7402,0.68671
2.7446,0.6867
2.7489,0.68668
2.7533,0.68666
2.7576,0.68665
2.762,0.68663
2.7663,0.68662
