d,TeV
14.722,0.59205
14.422,0.59205
14.159,0.59205
13.784,0.5945
13.259,0.59205
11.696,0.59205
11.246,0.59205
10.796,0.60917
9.8209,0.60917
9.2833,0.60917
8.7707,0.60917
8.008,0.60917
7.5454,0.60917
6.7702,0.60917
5.67,0.60917
4.6573,0.60917
3.8072,0.61896
2.7945,0.61896
1.6943,0.61896
1.2067,0.6214
0.86915,0.6214
0.49403,0.61896
