############################
### DOCUMENT
# [1] M. Capacci, M. Minucci, and A. Severi, “Simple numerical model describing discharge parameters in orificed hollow cathode devices,” 33rd Jt. Propuls. Conf. Exhib., 1997.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Discharge voltage vs. discharge current 
### DATA
# Id (A), Vd (V) 
### NOTES
# The cathode is the A10000. Mass flow rate is 1 sccm
############################
Id,Vd
0.50994,12.9025
0.53139,12.6116
0.56638,12.4587
0.59468,12.2695
0.62739,12.0803
0.64696,11.942
0.69737,11.7672
0.71478,11.6507
0.73219,11.5343
0.74076,11.418
0.74928,11.2725
0.76675,11.1852
0.80202,11.1558
0.81054,11.0104
0.83662,10.8212
0.85387,10.6321
0.89791,10.5736
0.90649,10.4572
0.9239,10.3408
0.9591,10.2823
0.96768,10.166
0.98509,10.0495
1.0114,9.9621
1.03777,9.9037
1.07292,9.8162
1.11708,9.8158
1.15229,9.7574
1.16957,9.5828
1.21368,9.5534
1.24888,9.4949
1.28403,9.4074
1.31034,9.32
1.34554,9.2615
1.38971,9.2611
1.41596,9.1446
1.44226,9.0572
1.4863,8.9987
1.53041,8.9692
1.56568,8.9398
1.59199,8.8524
1.63616,8.852
1.68033,8.8516
1.72443,8.8222
1.76866,8.8509
1.80387,8.7924
1.83908,8.734
1.88325,8.7336
1.91845,8.6751
1.95366,8.6167
1.99776,8.5872
2.09493,8.5864
2.11241,8.499
2.15658,8.4986
2.20081,8.5273
2.23608,8.4979
2.28025,8.4976
2.32442,8.4972
2.36865,8.5259
2.41276,8.4964
2.44816,8.5252
2.4744,8.4087
2.51851,8.3792
2.56267,8.3788
2.58898,8.2914
2.63322,8.3201
2.67738,8.3197
2.71266,8.2903
2.75682,8.2899
2.80106,8.3186
2.84523,8.3182
2.8805,8.2888
2.92467,8.2884
2.96883,8.2881
3.01307,8.3167
3.05717,8.2873
3.1014,8.316
3.13668,8.2866
3.18091,8.3153
3.22501,8.2858
3.26925,8.3145
3.30458,8.3142
3.34875,8.3138
3.39285,8.2844
3.43702,8.284
3.48126,8.3127
3.52536,8.2832
3.56076,8.312
3.60493,8.3116
3.6491,8.3112
3.6932,8.2817
3.73737,8.2814
3.77271,8.2811
3.81694,8.3097
3.86111,8.3094
3.90528,8.309
3.94944,8.3086
3.97614,8.3956
4.09123,8.5108
4.1354,8.5104
4.17957,8.5101
4.22374,8.5097
4.26791,8.5093
4.31208,8.5089
4.35625,8.5085
4.40042,8.5081
4.44458,8.5078
4.48875,8.5074
4.53292,8.507
4.57709,8.5066
4.62126,8.5062
4.66543,8.5058
4.7096,8.5054
4.75377,8.5051
4.79793,8.5047
4.8421,8.5043
4.88627,8.5039
4.93044,8.5035
4.97467,8.5322
5.01891,8.5609
5.06308,8.5605
5.09854,8.6183
5.14271,8.6179
5.18688,8.6176
5.23104,8.6172
5.27521,8.6168
5.31938,8.6164
5.36355,8.616
5.40772,8.6156
5.45189,8.6152
5.48742,8.7021
5.53159,8.7018
5.56698,8.7305
5.59368,8.8175
5.63785,8.8171
5.68202,8.8167
5.72618,8.8163
5.77035,8.816
5.81452,8.8156
5.85869,8.8152
5.90286,8.8148
5.94703,8.8144
5.97379,8.9305
6.07992,8.9877
6.12402,8.9582
6.16819,8.9578
6.21236,8.9575
6.25653,8.9571
6.3007,8.9567
6.33603,8.9564
6.38027,8.9851
6.42444,8.9847
6.45984,9.0134
6.50407,9.0421
6.54824,9.0417
6.575,9.1578
6.61916,9.1574
6.66333,9.157
6.7075,9.1566
6.74284,9.1563
6.78707,9.185
6.83117,9.1555
6.87534,9.1552
6.91951,9.1548
6.95491,9.1835
6.98154,9.2414
7.02571,9.2411
7.06124,9.328
7.09657,9.3276
7.13197,9.3564
7.17614,9.356
7.22031,9.3556
7.26448,9.3553
7.30865,9.3549
7.35281,9.3545
7.39698,9.3541
7.44115,9.3537
7.47668,9.4406
7.52085,9.4402
7.55625,9.469
7.60048,9.4977
7.64465,9.4973
7.68882,9.4969
7.73299,9.4965
7.77716,9.4961
7.82132,9.4957
7.86549,9.4954
7.90966,9.495
7.94513,9.5528
8.04249,9.6392
8.08672,9.6678
8.13089,9.6675
8.17506,9.6671
8.21923,9.6667
8.2634,9.6663
8.30757,9.6659
8.35173,9.6655
8.3959,9.6652
8.44039,9.8101
8.48456,9.8097
8.52873,9.8093
8.55542,9.8963
8.59959,9.8959
8.64376,9.8955
8.68793,9.8952
8.7321,9.8948
8.77627,9.8944
8.82037,9.8649
8.85577,9.8937
8.89994,9.8933
8.94411,9.8929
8.98828,9.8925
9.03245,9.8922
9.06791,9.95
9.11214,9.9787
9.15625,9.9492
9.20048,9.9779
9.24465,9.9775
9.27999,9.9772
9.32409,9.9478
9.36832,9.9764
9.41243,9.947
9.4566,9.9466
9.48329,10.0336
9.52746,10.0332
9.56286,10.062
9.59832,10.1198
9.64243,10.0903
9.68659,10.0899
9.72193,10.0896
9.7661,10.0892
9.81027,10.0889
9.85444,10.0885
9.8986,10.0881
9.94284,10.1168
9.96947,10.1747
