############################
### DOCUMENT
# [1] M. Capacci, M. Minucci, and A. Severi, “Simple numerical model describing discharge parameters in orificed hollow cathode devices,” 33rd Jt. Propuls. Conf. Exhib., 1997.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Discharge voltage vs. discharge current 
### DATA
# Id (A), Vd (V) 
### NOTES
# The cathode is the A5000. Mass flow rate is 1 sccm
############################
Id,Vd
0.51536,12.9713
0.55081,12.8875
0.57746,12.7618
0.60415,12.5944
0.63079,12.4688
0.66628,12.3431
0.69293,12.2175
0.71975,11.9246
0.75519,11.8408
0.78184,11.7151
0.79969,11.5478
0.82634,11.4221
0.85303,11.2547
0.88848,11.1709
0.91517,11.0034
0.94182,10.8778
0.96847,10.7522
1.05709,10.5426
1.10129,10.5423
1.15455,10.3329
1.19871,10.3744
1.22536,10.2488
1.26952,10.2904
1.31373,10.2901
1.34918,10.2063
1.39347,10.1224
1.43772,10.0803
1.47308,10.0801
1.51733,10.038
1.56153,10.0377
1.60574,10.0375
1.64995,10.0372
1.69415,10.0369
1.73836,10.0367
1.78257,10.0364
1.82677,10.0361
1.87098,10.0359
1.91518,10.0356
1.95939,10.0353
2.039,9.993
2.08317,10.0346
2.12737,10.0343
2.17158,10.0341
2.21579,10.0338
2.25115,10.0336
2.2954,9.9915
2.3396,9.9913
2.38377,10.0328
2.41918,9.9908
2.46338,9.9905
2.50755,10.0321
2.55175,10.0318
2.59596,10.0315
2.63128,10.0731
2.67549,10.0729
2.71077,10.1563
2.74613,10.1561
2.7903,10.1977
2.82571,10.1556
2.86991,10.1554
2.91412,10.1551
2.95832,10.1548
2.98481,10.1965
3.04665,10.2379
3.09086,10.2377
3.12618,10.2793
3.1879,10.4462
3.23207,10.4877
3.27628,10.4875
3.32048,10.4872
3.36469,10.487
3.40889,10.4867
3.45306,10.5282
3.48838,10.5699
3.53255,10.6114
3.57671,10.653
3.62088,10.6945
3.66508,10.6943
3.70036,10.7777
3.74457,10.7774
3.78878,10.7772
3.83298,10.7769
3.87719,10.7766
3.92139,10.7764
3.9656,10.7761
4.00088,10.8595
4.0538,10.9847
4.09801,10.9844
4.13329,11.0678
4.1775,11.0676
4.22166,11.1091
4.26587,11.1089
4.31008,11.1086
4.35428,11.1083
4.39849,11.1081
4.44269,11.1078
4.47798,11.1912
4.52214,11.2328
4.54858,11.3163
4.59274,11.3578
4.63695,11.3576
4.67223,11.441
4.71644,11.4407
4.7606,11.4823
4.79593,11.5239
4.83117,11.6491
4.87537,11.6489
4.91958,11.6486
4.9637,11.732
5.04319,11.8151
5.07855,11.8149
5.12272,11.8565
5.16684,11.9399
5.20221,11.9396
5.24641,11.9394
5.29062,11.9391
5.33483,11.9389
5.37903,11.9386
5.42324,11.9383
5.4674,11.9799
5.49384,12.0634
5.53801,12.1049
5.59081,12.3555
5.63501,12.3553
5.67913,12.4386
5.72334,12.4384
5.76755,12.4381
5.80295,12.3961
5.83823,12.4795
5.88244,12.4792
5.92661,12.5208
5.96201,12.4788
6.04146,12.6037
6.08566,12.6035
6.12095,12.6869
6.16515,12.6866
6.20936,12.6864
6.25356,12.6861
6.29777,12.6858
6.34194,12.7274
6.37734,12.6854
6.42155,12.6851
6.45683,12.7685
6.51855,12.9354
6.56272,12.977
6.60688,13.0186
6.6422,13.0602
6.68641,13.0599
6.72173,13.1015
6.7659,13.1431
6.80114,13.2683
6.84534,13.268
6.88955,13.2678
6.93376,13.2675
6.96908,13.3091
