Id  mdot    x   phip
8.24    2.47    ["-0.00596","0.09401","0.14154","0.19492","0.2551","0.28225","0.40567","0.41585","0.49115","0.5328","0.63988","0.75097"]    ["10.2362","10.0883","9.5439","9.7836","9.2348","9.4614","9.4746","9.3832","9.1611","9.0436","8.7781","8.3732"]
13.3    3.7 ["-0.02999","0.07373","0.28417","0.4764","0.68745","0.83618","0.96208","0.96209","1.13257"]    ["8.0627","6.02","5.7459","5.7985","5.7596","5.4288","4.9739","4.8388","4.4493"]
