############################
### DOCUMENT
# [1] K. K. Jameson, D. M. Goebel, and R. M. Watkins, “Hollow Cathode and Keeper-Region Plasma Measurements,” 41st AIAA/ASME/SAE/ASEE Jt. Propuls. Conf. Exhib., 2005.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# [1] Fig.4 Axial density cathode and anode profiles plotted on a semi-log scale for TH8 and TH15. 
# [1] Fig.6 Cathode plasma potential and electron temperature profiles for TH8 and TH15 
### DATA
# Id (A), log10(electron density) vs. x (in 1/m3 and mm, resp.), electron temperature vs. x (in eV and mm), idxmax, idxmin, dc (mm), mass flow (sccm of Xe), do (mm), Lo (mm), plasma potential vs. x (in V and mm)
### NOTES
############################
dischargeCurrent,electronDensity,electronTemperature,idxmax,idxmin,insertDiameter,massFlowRate_sccm,orificeDiameter,orificeLength,plasmaPotential
8.29,"[[-79.9475   17.95211]
 [-79.6583   17.9714 ]
 [-79.2967   17.97783]
 [-79.0075   17.98426]
 [-78.6459   17.98426]
 [-78.2843   17.98427]
 [-77.9228   17.97784]
 [-77.5612   17.97784]
 [-77.1996   17.97785]
 [-76.8381   17.97785]
 [-76.6211   17.95857]
 [-76.2595   17.95857]
 [-75.898    17.97143]
 [-75.6087   17.98429]
 [-75.2472   17.98429]
 [-74.9579   17.97144]
 [-74.5963   17.96501]
 [-74.3071   17.95859]
 [-73.9455   17.96502]
 [-73.6563   17.97788]
 [-73.2947   17.98431]
 [-73.0054   17.97788]
 [-72.7162   17.96503]
 [-72.3546   17.9586 ]
 [-71.993    17.96503]
 [-71.7038   17.97146]
 [-71.4146   17.97789]
 [-71.053    17.9779 ]
 [-70.6914   17.9779 ]
 [-70.3299   17.98433]
 [-69.9683   17.98433]
 [-69.679    17.98433]
 [-69.3175   17.99077]
 [-68.9559   17.99077]
 [-68.5944   17.99077]
 [-68.2328   17.99077]
 [-67.8712   17.98435]
 [-67.5097   17.99078]
 [-67.2204   17.99721]
 [-66.9312   18.00364]
 [-66.5696   18.00364]
 [-66.208    17.99722]
 [-65.8464   17.99079]
 [-65.4849   17.98437]
 [-65.1233   17.98437]
 [-64.7617   17.98437]
 [-64.4002   17.98438]
 [-64.0386   17.98438]
 [-63.677    17.98438]
 [-63.3155   17.98439]
 [-62.9539   17.98439]
 [-62.5923   17.98439]
 [-62.3031   17.97797]
 [-61.9415   17.97797]
 [-61.5799   17.97797]
 [-61.2184   17.99083]
 [-60.8568   17.99083]
 [-60.6399   18.00369]
 [-60.2783   18.00369]
 [-59.9168   18.01012]
 [-59.5552   18.01013]
 [-59.1936   18.0037 ]
 [-58.8321   18.00371]
 [-58.5428   17.99085]
 [-58.1812   17.99086]
 [-57.8197   17.99086]
 [-57.4581   17.99086]
 [-57.1688   17.99086]
 [-56.8073   17.99087]
 [-56.4457   17.98444]
 [-56.0841   17.98444]
 [-55.7226   17.98445]
 [-55.361    17.98445]
 [-55.0718   17.99088]
 [-54.7102   17.99088]
 [-54.3486   17.99089]
 [-53.987    17.98446]
 [-53.6978   17.97161]
 [-53.4085   17.97804]
 [-53.047    17.97804]
 [-52.6854   17.97804]
 [-52.3962   17.9909 ]
 [-52.0346   17.99733]
 [-51.7454   18.00376]
 [-51.4561   18.01019]
 [-51.0946   18.01662]
 [-50.8053   18.00377]
 [-50.4437   17.99734]
 [-50.1544   17.99092]
 [-49.7929   17.99092]
 [-49.4313   17.99093]
 [-49.0697   17.99093]
 [-48.7805   18.01021]
 [-48.419    18.01022]
 [-48.0574   18.01665]
 [-47.6958   18.01665]
 [-47.3343   18.01665]
 [-46.9727   18.01023]
 [-46.6111   18.01023]
 [-46.3219   18.02309]
 [-45.9603   18.02952]
 [-45.6711   18.04238]
 [-45.3819   18.05524]
 [-45.0203   18.05524]
 [-44.731    18.04239]
 [-44.3695   18.03596]
 [-44.0079   18.03596]
 [-43.7186   18.03597]
 [-43.3571   18.03597]
 [-42.9955   18.03597]
 [-42.6339   18.03597]
 [-42.2724   18.02955]
 [-41.9108   18.02955]
 [-41.5492   18.02956]
 [-41.1877   18.03599]
 [-40.8261   18.03599]
 [-40.6092   18.04885]
 [-40.2476   18.04242]
 [-39.9583   18.036  ]
 [-39.5968   18.04243]
 [-39.3076   18.05528]
 [-38.946    18.06172]
 [-38.5844   18.05529]
 [-38.2952   18.05529]
 [-38.0059   18.04244]
 [-37.6443   18.04887]
 [-37.3551   18.0553 ]
 [-37.0659   18.06816]
 [-36.7043   18.06816]
 [-36.3427   18.06174]
 [-35.9812   18.06174]
 [-35.6196   18.06174]
 [-35.3303   18.06817]
 [-34.9688   18.06817]
 [-34.6072   18.07461]
 [-34.2457   18.08104]
 [-34.101    18.08747]
 [-33.7395   18.0939 ]
 [-33.4503   18.10675]
 [-33.0887   18.10033]
 [-32.7271   18.0939 ]
 [-32.3655   18.08748]
 [-32.004    18.08748]
 [-31.6424   18.08748]
 [-31.3532   18.10034]
 [-30.9916   18.10677]
 [-30.63     18.10678]
 [-30.2685   18.10678]
 [-29.9069   18.11321]
 [-29.6177   18.12607]
 [-29.2561   18.1325 ]
 [-28.9669   18.1325 ]
 [-28.6053   18.1325 ]
 [-28.2438   18.14536]
 [-27.9545   18.15179]
 [-27.6653   18.16465]
 [-27.3037   18.15823]
 [-26.9421   18.14537]
 [-26.7252   18.15823]
 [-26.3637   18.16466]
 [-26.0021   18.17109]
 [-25.7129   18.18395]
 [-25.3513   18.18395]
 [-24.9898   18.19038]
 [-24.6282   18.19681]
 [-24.2666   18.19682]
 [-23.9051   18.19682]
 [-23.5435   18.20325]
 [-23.1819   18.20325]
 [-22.8927   18.21611]
 [-22.5312   18.22254]
 [-22.2419   18.22897]
 [-21.8804   18.2354 ]
 [-21.5188   18.2354 ]
 [-21.2296   18.24826]
 [-20.868    18.25469]
 [-20.5788   18.26755]
 [-20.2172   18.26755]
 [-19.8557   18.28041]
 [-19.4941   18.28042]
 [-19.2049   18.28685]
 [-18.8433   18.29328]
 [-18.4817   18.29971]
 [-18.1925   18.31256]
 [-17.9033   18.31899]
 [-17.5417   18.319  ]
 [-17.1801   18.32543]
 [-16.8909   18.33829]
 [-16.6017   18.35114]
 [-16.2401   18.35757]
 [-15.9509   18.37043]
 [-15.6617   18.38972]
 [-15.3001   18.39615]
 [-15.0109   18.40258]
 [-14.6493   18.41544]
 [-14.2878   18.42187]
 [-13.9986   18.43473]
 [-13.7093   18.44758]
 [-13.3478   18.46687]
 [-13.0586   18.47973]
 [-12.8417   18.49901]
 [-12.5524   18.5183 ]
 [-12.2632   18.53116]
 [-11.974    18.55044]
 [-11.6124   18.5633 ]
 [-11.3955   18.58259]
 [-11.1063   18.60187]
 [-10.8894   18.62758]
 [-10.5279   18.63401]
 [-10.3833   18.65973]
 [-10.0941   18.67258]
 [ -9.8772   18.6983 ]
 [ -9.6603   18.72401]
 [ -9.4434   18.7433 ]
 [ -9.1542   18.76258]
 [ -9.0096   18.78829]
 [ -8.7204   18.80758]
 [ -8.4311   18.82044]
 [  0.4098   20.87338]
 [  0.6      20.89587]
 [  0.7488   20.93525]
 [  0.8934   20.96096]
 [  1.1827   20.96096]
 [  1.472    20.94811]
 [  1.6889   20.9224 ]
 [  1.9059   20.90312]
 [  2.1229   20.87741]
 [  2.2676   20.84527]
 [  2.4123   20.81956]
 [  2.6293   20.79385]
 [  2.7739   20.76814]
 [  2.8463   20.74886]
 [  2.991    20.71672]
 [  3.1356   20.69101]
 [  3.3526   20.67173]
 [  3.425    20.63959]
 [  3.642    20.62031]
 [  3.7143   20.58817]
 [  3.859    20.55603]
 [  4.0037   20.53032]
 [  4.2207   20.49819]
 [  4.2931   20.46605]
 [  4.4377   20.44677]
 [  4.5101   20.41463]
 [  4.6548   20.38249]
 [  4.7994   20.36321]
 [  4.9441   20.33107]
 [  5.0165   20.29893]
 [  5.0888   20.27322]
 [  5.3058   20.25394]
 [  5.4505   20.2218 ]
 [  5.6675   20.19609]
 [  5.7399   20.17038]
 [  5.8845   20.13824]
 [  5.9569   20.11253]
 [  6.0293   20.0804 ]
 [  6.1739   20.05469]
 [  6.3186   20.02898]
 [  6.4633   20.00327]
 [  6.608    19.97756]
 [  6.608    19.94542]
 [  6.6804   19.91328]
 [  6.8251   19.88757]
 [  6.8974   19.86186]
 [  7.0421   19.82972]
 [  7.2591   19.81687]
 [  7.3314   19.78473]
 [  7.4761   19.75902]
 [  7.5485   19.72688]
 [  7.8378   19.71403]
 [  7.9101   19.68189]
 [  7.9825   19.65618]
 [  8.1359   19.61761]
 [  8.3081   19.57101]
 [  8.5612   19.53807]
 [  8.6878   19.4987 ]
 [  8.8506   19.46175]]","[[ 0.951   1.5424]
 [ 1.4324  1.4597]
 [ 2.5432  1.5252]
 [ 2.8456  1.5775]
 [ 4.0675  1.4209]
 [ 4.1693  1.3295]
 [ 4.913   1.3078]
 [ 5.3295  1.3122]
 [ 7.5449  1.4563]]",,-50,3.8,2.47,1.02,0.74,"[[ -0.0596  10.2362]
 [  0.9401  10.0883]
 [  1.4154   9.5439]
 [  1.9492   9.7836]
 [  2.551    9.2348]
 [  2.8225   9.4614]
 [  4.0567   9.4746]
 [  4.1585   9.3832]
 [  4.9114   9.1611]
 [  5.328    9.0436]
 [  6.3988   8.7781]
 [  7.5096   8.3732]]"
13.2,"[[ -7.99477000e+01   1.80742400e+01]
 [ -7.95861000e+01   1.80742400e+01]
 [ -7.92246000e+01   1.80742500e+01]
 [ -7.88630000e+01   1.80742500e+01]
 [ -7.85014000e+01   1.80678200e+01]
 [ -7.81399000e+01   1.80678300e+01]
 [ -7.77783000e+01   1.80678300e+01]
 [ -7.74167000e+01   1.80678300e+01]
 [ -7.71275000e+01   1.80549800e+01]
 [ -7.67659000e+01   1.80549800e+01]
 [ -7.64043000e+01   1.80549900e+01]
 [ -7.61151000e+01   1.80678400e+01]
 [ -7.57535000e+01   1.80742700e+01]
 [ -7.53920000e+01   1.80742800e+01]
 [ -7.50304000e+01   1.80678500e+01]
 [ -7.46688000e+01   1.80678600e+01]
 [ -7.43073000e+01   1.80678600e+01]
 [ -7.39457000e+01   1.80678600e+01]
 [ -7.36564000e+01   1.80614400e+01]
 [ -7.32948000e+01   1.80550100e+01]
 [ -7.29333000e+01   1.80485900e+01]
 [ -7.25717000e+01   1.80485900e+01]
 [ -7.22101000e+01   1.80485900e+01]
 [ -7.19209000e+01   1.80678800e+01]
 [ -7.15593000e+01   1.80678800e+01]
 [ -7.11978000e+01   1.80743100e+01]
 [ -7.08362000e+01   1.80807400e+01]
 [ -7.04747000e+01   1.80807500e+01]
 [ -7.01854000e+01   1.80871800e+01]
 [ -6.98239000e+01   1.80871800e+01]
 [ -6.94623000e+01   1.80871800e+01]
 [ -6.91007000e+01   1.80807600e+01]
 [ -6.87391000e+01   1.80807600e+01]
 [ -6.83776000e+01   1.80743300e+01]
 [ -6.80160000e+01   1.80743400e+01]
 [ -6.76544000e+01   1.80679100e+01]
 [ -6.73652000e+01   1.80614900e+01]
 [ -6.70036000e+01   1.80679200e+01]
 [ -6.66420000e+01   1.80679200e+01]
 [ -6.62805000e+01   1.80743500e+01]
 [ -6.59189000e+01   1.80807800e+01]
 [ -6.56297000e+01   1.80872100e+01]
 [ -6.52681000e+01   1.80872100e+01]
 [ -6.49065000e+01   1.80872200e+01]
 [ -6.45450000e+01   1.80872200e+01]
 [ -6.41834000e+01   1.80872200e+01]
 [ -6.38218000e+01   1.80872300e+01]
 [ -6.34603000e+01   1.80872300e+01]
 [ -6.30987000e+01   1.80936600e+01]
 [ -6.27372000e+01   1.81000900e+01]
 [ -6.23756000e+01   1.80936700e+01]
 [ -6.20863000e+01   1.81001000e+01]
 [ -6.17248000e+01   1.80936700e+01]
 [ -6.13632000e+01   1.80872500e+01]
 [ -6.10016000e+01   1.80872500e+01]
 [ -6.06401000e+01   1.80872500e+01]
 [ -6.02785000e+01   1.80872500e+01]
 [ -5.99169000e+01   1.80936900e+01]
 [ -5.95554000e+01   1.80936900e+01]
 [ -5.92661000e+01   1.81065500e+01]
 [ -5.89046000e+01   1.81065500e+01]
 [ -5.85430000e+01   1.81001200e+01]
 [ -5.82537000e+01   1.80937000e+01]
 [ -5.78922000e+01   1.80937000e+01]
 [ -5.75306000e+01   1.80937000e+01]
 [ -5.71690000e+01   1.80937100e+01]
 [ -5.68075000e+01   1.80937100e+01]
 [ -5.64459000e+01   1.80937100e+01]
 [ -5.60843000e+01   1.80937200e+01]
 [ -5.57951000e+01   1.81065700e+01]
 [ -5.54335000e+01   1.81130000e+01]
 [ -5.50720000e+01   1.81130100e+01]
 [ -5.47827000e+01   1.81194400e+01]
 [ -5.44212000e+01   1.81194400e+01]
 [ -5.40596000e+01   1.81194400e+01]
 [ -5.36980000e+01   1.81130200e+01]
 [ -5.33365000e+01   1.81130200e+01]
 [ -5.29749000e+01   1.81130200e+01]
 [ -5.26856000e+01   1.81194500e+01]
 [ -5.23241000e+01   1.81130300e+01]
 [ -5.19625000e+01   1.81130300e+01]
 [ -5.16009000e+01   1.81194600e+01]
 [ -5.12394000e+01   1.81194700e+01]
 [ -5.08778000e+01   1.81259000e+01]
 [ -5.05163000e+01   1.81259000e+01]
 [ -5.01547000e+01   1.81259000e+01]
 [ -4.97931000e+01   1.81259100e+01]
 [ -4.95039000e+01   1.81194800e+01]
 [ -4.91423000e+01   1.81130600e+01]
 [ -4.87807000e+01   1.81066300e+01]
 [ -4.84915000e+01   1.81194900e+01]
 [ -4.81299000e+01   1.81259200e+01]
 [ -4.77684000e+01   1.81323500e+01]
 [ -4.74068000e+01   1.81387800e+01]
 [ -4.70452000e+01   1.81387800e+01]
 [ -4.66837000e+01   1.81387900e+01]
 [ -4.63221000e+01   1.81387900e+01]
 [ -4.59605000e+01   1.81387900e+01]
 [ -4.55990000e+01   1.81387900e+01]
 [ -4.53097000e+01   1.81452200e+01]
 [ -4.49482000e+01   1.81452300e+01]
 [ -4.45866000e+01   1.81452300e+01]
 [ -4.42250000e+01   1.81452300e+01]
 [ -4.38635000e+01   1.81452400e+01]
 [ -4.35019000e+01   1.81452400e+01]
 [ -4.31403000e+01   1.81516700e+01]
 [ -4.27788000e+01   1.81516700e+01]
 [ -4.24172000e+01   1.81581000e+01]
 [ -4.20556000e+01   1.81581100e+01]
 [ -4.17664000e+01   1.81709600e+01]
 [ -4.14049000e+01   1.81709700e+01]
 [ -4.11156000e+01   1.81774000e+01]
 [ -4.07540000e+01   1.81774000e+01]
 [ -4.03925000e+01   1.81709800e+01]
 [ -4.00309000e+01   1.81709800e+01]
 [ -3.96693000e+01   1.81709800e+01]
 [ -3.93078000e+01   1.81645600e+01]
 [ -3.89462000e+01   1.81709900e+01]
 [ -3.85846000e+01   1.81774200e+01]
 [ -3.82954000e+01   1.81774200e+01]
 [ -3.79338000e+01   1.81838500e+01]
 [ -3.75723000e+01   1.81838500e+01]
 [ -3.72107000e+01   1.81838600e+01]
 [ -3.68491000e+01   1.81902900e+01]
 [ -3.64876000e+01   1.81902900e+01]
 [ -3.61260000e+01   1.81902900e+01]
 [ -3.57645000e+01   1.81967200e+01]
 [ -3.54029000e+01   1.82031500e+01]
 [ -3.51137000e+01   1.82095800e+01]
 [ -3.47521000e+01   1.82160200e+01]
 [ -3.43905000e+01   1.82224500e+01]
 [ -3.40290000e+01   1.82224500e+01]
 [ -3.38121000e+01   1.82353100e+01]
 [ -3.34505000e+01   1.82353100e+01]
 [ -3.30889000e+01   1.82353100e+01]
 [ -3.27274000e+01   1.82353100e+01]
 [ -3.23658000e+01   1.82417500e+01]
 [ -3.20042000e+01   1.82417500e+01]
 [ -3.16427000e+01   1.82417500e+01]
 [ -3.12811000e+01   1.82417500e+01]
 [ -3.09195000e+01   1.82417600e+01]
 [ -3.05580000e+01   1.82481900e+01]
 [ -3.01964000e+01   1.82546200e+01]
 [ -2.98349000e+01   1.82546200e+01]
 [ -2.95456000e+01   1.82482000e+01]
 [ -2.91840000e+01   1.82417700e+01]
 [ -2.88225000e+01   1.82417700e+01]
 [ -2.84609000e+01   1.82546300e+01]
 [ -2.81717000e+01   1.82674900e+01]
 [ -2.78101000e+01   1.82739200e+01]
 [ -2.74486000e+01   1.82739200e+01]
 [ -2.71593000e+01   1.82803500e+01]
 [ -2.67977000e+01   1.82803600e+01]
 [ -2.64362000e+01   1.82803600e+01]
 [ -2.60746000e+01   1.82803600e+01]
 [ -2.57130000e+01   1.82803700e+01]
 [ -2.53515000e+01   1.82868000e+01]
 [ -2.49899000e+01   1.82868000e+01]
 [ -2.46284000e+01   1.82932300e+01]
 [ -2.42668000e+01   1.83060900e+01]
 [ -2.39053000e+01   1.83060900e+01]
 [ -2.36160000e+01   1.83189500e+01]
 [ -2.32545000e+01   1.83253800e+01]
 [ -2.28929000e+01   1.83318100e+01]
 [ -2.25314000e+01   1.83318100e+01]
 [ -2.21698000e+01   1.83318200e+01]
 [ -2.18082000e+01   1.83318200e+01]
 [ -2.15190000e+01   1.83382500e+01]
 [ -2.11574000e+01   1.83446800e+01]
 [ -2.07959000e+01   1.83446800e+01]
 [ -2.05066000e+01   1.83575400e+01]
 [ -2.01451000e+01   1.83575400e+01]
 [ -1.97835000e+01   1.83575500e+01]
 [ -1.94943000e+01   1.83704000e+01]
 [ -1.91327000e+01   1.83704100e+01]
 [ -1.87711000e+01   1.83768400e+01]
 [ -1.84096000e+01   1.83768400e+01]
 [ -1.81203000e+01   1.83832700e+01]
 [ -1.77588000e+01   1.83832700e+01]
 [ -1.74695000e+01   1.84025600e+01]
 [ -1.71080000e+01   1.84089900e+01]
 [ -1.67464000e+01   1.84154200e+01]
 [ -1.64572000e+01   1.84282800e+01]
 [ -1.61680000e+01   1.84475600e+01]
 [ -1.58788000e+01   1.84604200e+01]
 [ -1.56618000e+01   1.84797100e+01]
 [ -1.53003000e+01   1.84861400e+01]
 [ -1.50111000e+01   1.84990000e+01]
 [ -1.47218000e+01   1.85182800e+01]
 [ -1.43603000e+01   1.85247100e+01]
 [ -1.41434000e+01   1.85504200e+01]
 [ -1.38542000e+01   1.85632800e+01]
 [ -1.35649000e+01   1.85825700e+01]
 [ -1.32757000e+01   1.86018500e+01]
 [ -1.30588000e+01   1.86275700e+01]
 [ -1.27696000e+01   1.86404200e+01]
 [ -1.25527000e+01   1.86597100e+01]
 [ -1.22635000e+01   1.86790000e+01]
 [ -1.21189000e+01   1.87047100e+01]
 [ -1.17573000e+01   1.87111400e+01]
 [ -1.16851000e+01   1.87368500e+01]
 [ -1.13959000e+01   1.87561400e+01]
 [ -1.12513000e+01   1.87818500e+01]
 [ -1.09621000e+01   1.88011300e+01]
 [ -1.08175000e+01   1.88204200e+01]
 [ -1.06006000e+01   1.88461300e+01]
 [ -1.03837000e+01   1.88654200e+01]
 [ -1.01668000e+01   1.88847000e+01]
 [ -9.94990000e+00   1.89039900e+01]
 [ -9.73300000e+00   1.89297000e+01]
 [ -9.58840000e+00   1.89554100e+01]
 [ -9.37150000e+00   1.89682700e+01]
 [ -9.22690000e+00   1.90004100e+01]
 [ -9.08230000e+00   1.90196900e+01]
 [ -8.79310000e+00   1.90325500e+01]
 [ -8.50380000e+00   1.90389800e+01]
 [ -2.45500000e-01   2.09609500e+01]
 [ -1.91300000e-01   2.09802300e+01]
 [ -1.37100000e-01   2.10091600e+01]
 [ -1.19100000e-01   2.10364800e+01]
 [ -8.30000000e-02   2.10605800e+01]
 [  4.35000000e-02   2.10895100e+01]
 [  1.52000000e-01   2.11071800e+01]
 [  2.96500000e-01   2.11296800e+01]
 [  3.68800000e-01   2.11537900e+01]
 [  5.13400000e-01   2.11714600e+01]
 [  7.12300000e-01   2.11698600e+01]
 [  8.38800000e-01   2.11586100e+01]
 [  1.03770000e+00   2.11313000e+01]
 [  1.18240000e+00   2.11055900e+01]
 [  1.27290000e+00   2.10814800e+01]
 [  1.38140000e+00   2.10622000e+01]
 [  1.58030000e+00   2.10172100e+01]
 [  1.77920000e+00   2.09818600e+01]
 [  1.88780000e+00   2.09207900e+01]
 [  2.05080000e+00   2.07874200e+01]
 [  2.08680000e+00   2.08436600e+01]
 [  2.19540000e+00   2.07617100e+01]
 [  2.34010000e+00   2.07424300e+01]
 [  2.41250000e+00   2.07102900e+01]
 [  2.48480000e+00   2.06845800e+01]
 [  2.62950000e+00   2.06588700e+01]
 [  2.84650000e+00   2.06395900e+01]
 [  2.91880000e+00   2.06074500e+01]
 [  3.06350000e+00   2.05881700e+01]
 [  3.20820000e+00   2.05624600e+01]
 [  3.28060000e+00   2.05303200e+01]
 [  3.35290000e+00   2.05046100e+01]
 [  3.49760000e+00   2.04724700e+01]
 [  3.57000000e+00   2.04403300e+01]
 [  3.64230000e+00   2.04146200e+01]
 [  3.71470000e+00   2.03889100e+01]
 [  3.93170000e+00   2.03632000e+01]
 [  4.00400000e+00   2.03374900e+01]
 [  4.14870000e+00   2.03117800e+01]
 [  4.22110000e+00   2.02796400e+01]
 [  4.36580000e+00   2.02539300e+01]
 [  4.51040000e+00   2.02217900e+01]
 [  4.51050000e+00   2.01960800e+01]
 [  4.58290000e+00   2.01639400e+01]
 [  4.79980000e+00   2.01382400e+01]
 [  4.87220000e+00   2.01125300e+01]
 [  4.94460000e+00   2.00803900e+01]
 [  5.01690000e+00   2.00482500e+01]
 [  5.08930000e+00   2.00161100e+01]
 [  5.30630000e+00   1.99968300e+01]
 [  5.37870000e+00   1.99646900e+01]
 [  5.45100000e+00   1.99325500e+01]
 [  5.52340000e+00   1.99004100e+01]
 [  5.59580000e+00   1.98747000e+01]
 [  5.81270000e+00   1.98489900e+01]
 [  5.95740000e+00   1.98232800e+01]
 [  6.02980000e+00   1.97911500e+01]
 [  6.10220000e+00   1.97654400e+01]
 [  6.31910000e+00   1.97461500e+01]
 [  6.46380000e+00   1.97204400e+01]
 [  6.53620000e+00   1.96883100e+01]
 [  6.53620000e+00   1.96561700e+01]
 [  6.60860000e+00   1.96240300e+01]
 [  6.68100000e+00   1.95918900e+01]
 [  7.00650000e+00   1.95436800e+01]
 [  7.11500000e+00   1.95131500e+01]
 [  7.20540000e+00   1.94858400e+01]
 [  7.33200000e+00   1.94520900e+01]
 [  7.45870000e+00   1.94199500e+01]
 [  7.54910000e+00   1.93749600e+01]]","[[ 0.1673  1.5597]
 [ 1.0313  1.6339]
 [ 1.8767  1.4162]
 [ 2.9166  1.412 ]
 [ 4.2681  1.3164]
 [ 4.9778  1.2555]
 [ 5.5578  1.3689]
 [ 6.2922  1.1773]
 [ 6.7643  1.2123]
 [ 8.3996  1.5218]
 [ 9.998   1.2084]]",,-50,3.8,3.7,1.02,0.74,"[[ -0.2999   8.0627]
 [  0.7373   6.02  ]
 [  2.8417   5.7459]
 [  4.764    5.7985]
 [  6.8745   5.7596]
 [  8.3618   5.4288]
 [  9.6208   4.9739]
 [  9.6208   4.8388]
 [ 11.3258   4.4493]]"
