Id  mdot    x   phip
8.24    2.47    ["0.0951","0.14324","0.25432","0.28456","0.40675","0.41693","0.4913","0.53295","0.75449"]   ["1.5424","1.4597","1.5252","1.5775","1.4209","1.3295","1.3078","1.3122","1.4563"]
13.3    3.7 ["0.01673","0.10313","0.18767","0.29166","0.42681","0.49778","0.55578","0.62922","0.67643","0.83996","0.9998"]  ["1.5597","1.6339","1.4162","1.412","1.3164","1.2555","1.3689","1.1773","1.2123","1.5218","1.2084"]
