x,TH8,TH15
-34.029,,18.22245
-33.8121,,18.23531
-33.7395,18.0939,
-33.4505,,18.23531
-33.4503,18.10675,
-33.0889,,18.23531
-33.0887,18.10033,
-32.7274,,18.23531
-32.7271,18.0939,
-32.3658,,18.24175
-32.3655,18.08748,
-32.0042,,18.24175
-32.004,18.08748,
-31.6427,,18.24175
-31.6424,18.08748,
-31.3532,18.10034,
-31.2811,,18.24175
-30.9916,18.10677,
-30.9195,,18.24176
-30.63,18.10678,
-30.558,,18.24819
-30.2685,18.10678,
-30.1964,,18.25462
-29.9069,18.11321,
-29.8349,,18.25462
-29.6177,18.12607,
-29.5456,,18.2482
-29.2561,18.1325,
-29.184,,18.24177
-28.9669,18.1325,
-28.8225,,18.24177
-28.6053,18.1325,
-28.4609,,18.25463
-28.2438,18.14536,
-28.1717,,18.26749
-27.9545,18.15179,
-27.8101,,18.27392
-27.6653,18.16465,
-27.4486,,18.27392
-27.3037,18.15823,
-27.1593,,18.28035
-26.9421,18.14537,
-26.7977,,18.28036
-26.7252,18.15823,
-26.4362,,18.28036
-26.3637,18.16466,
-26.0746,,18.28036
-26.0021,18.17109,
-25.713,,18.28037
-25.7129,18.18395,
-25.3515,,18.2868
-25.3513,18.18395,
-24.9899,,18.2868
-24.9898,18.19038,
-24.6284,,18.29323
-24.6282,18.19681,
-24.2668,,18.30609
-24.2666,18.19682,
-23.9053,,18.30609
-23.9051,18.19682,
-23.616,,18.31895
-23.5435,18.20325,
-23.2545,,18.32538
-23.1819,18.20325,
-22.8929,,18.33181
-22.8927,18.21611,
-22.5314,,18.33181
-22.5312,18.22254,
-22.2419,18.22897,
-22.1698,,18.33182
-21.8804,18.2354,
-21.8082,,18.33182
-21.519,,18.33825
-21.5188,18.2354,
-21.2296,18.24826,
-21.1574,,18.34468
-20.868,18.25469,
-20.7959,,18.34468
-20.5788,18.26755,
-20.5066,,18.35754
-20.2172,18.26755,
-20.1451,,18.35754
-19.8557,18.28041,
-19.7835,,18.35755
-19.4943,,18.3704
-19.4941,18.28042,
-19.2049,18.28685,
-19.1327,,18.37041
-18.8433,18.29328,
-18.7711,,18.37684
-18.4817,18.29971,
-18.4096,,18.37684
-18.1925,18.31256,
-18.1203,,18.38327
-17.9033,18.31899,
-17.7588,,18.38327
-17.5417,18.319,
-17.4695,,18.40256
-17.1801,18.32543,
-17.108,,18.40899
-16.8909,18.33829,
-16.7464,,18.41542
-16.6017,18.35114,
-16.4572,,18.42828
-16.2401,18.35757,
-16.168,,18.44756
-15.9509,18.37043,
-15.8788,,18.46042
-15.6618,,18.47971
-15.6617,18.38972,
-15.3003,,18.48614
-15.3001,18.39615,
-15.0111,,18.499
-15.0109,18.40258,
-14.7218,,18.51828
-14.6493,18.41544,
-14.3603,,18.52471
-14.2878,18.42187,
-14.1434,,18.55042
-13.9986,18.43473,
-13.8542,,18.56328
-13.7093,18.44758,
-13.5649,,18.58257
-13.3478,18.46687,
-13.2757,,18.60185
-13.0588,,18.62757
-13.0586,18.47973,
-12.8417,18.49901,
-12.7696,,18.64042
-12.5527,,18.65971
-12.5524,18.5183,
-12.2635,,18.679
-12.2632,18.53116,
-12.1189,,18.70471
-11.974,18.55044,
-11.7573,,18.71114
-11.6851,,18.73685
-11.6124,18.5633,
-11.3959,,18.75614
-11.3955,18.58259,
-11.2513,,18.78185
-11.1063,18.60187,
-10.9621,,18.80113
-10.8894,18.62758,
-10.8175,,18.82042
-10.6006,,18.84613
-10.5279,18.63401,
-10.3837,,18.86542
-10.3833,18.65973,
-10.1668,,18.8847
-10.0941,18.67258,
-9.9499,,18.90399
-9.8772,18.6983,
-9.733,,18.9297
-9.6603,18.72401,
-9.5884,,18.95541
-9.4434,18.7433,
-9.3715,,18.96827
-9.2269,,19.00041
-9.1542,18.76258,
-9.0823,,19.01969
-9.0096,18.78829,
-8.7931,,19.03255
-8.7204,18.80758,
-8.5038,,19.03898
-8.4311,18.82044,
-0.2455,,20.96095
-0.1913,,20.98023
-0.1371,,21.00916
-0.1191,,21.03648
-0.083,,21.06058
0.0435,,21.08951
0.152,,21.10718
0.2965,,21.12968
0.3688,,21.15379
0.4098,20.87338,
0.5134,,21.17146
0.6,20.89587,
0.7123,,21.16986
0.7488,20.93525,
0.8388,,21.15861
0.8934,20.96096,
1.0377,,21.1313
1.1824,,21.10559
1.1827,20.96096,
1.2729,,21.08148
1.3814,,21.0622
1.472,20.94811,
1.5803,,21.01721
1.6889,20.9224,
1.7792,,20.98186
1.8878,,20.92079
1.9059,20.90312,
2.0508,,20.78742
2.0868,,20.84366
2.1229,20.87741,
2.1954,,20.76171
2.2676,20.84527,
2.3401,,20.74243
2.4123,20.81956,
2.4125,,20.71029
2.4848,,20.68458
2.6293,20.79385,
2.6295,,20.65887
2.7739,20.76814,
2.8463,20.74886,
2.8465,,20.63959
2.9188,,20.60745
2.991,20.71672,
3.0635,,20.58817
3.1356,20.69101,
3.2082,,20.56246
3.2806,,20.53032
3.3526,20.67173,
3.3529,,20.50461
3.425,20.63959,
3.4976,,20.47247
3.57,,20.44033
3.642,20.62031,
3.6423,,20.41462
3.7143,20.58817,
3.7147,,20.38891
3.859,20.55603,
3.9317,,20.3632
4.0037,20.53032,
4.004,,20.33749
4.1487,,20.31178
4.2207,20.49819,
4.2211,,20.27964
4.2931,20.46605,
4.3658,,20.25393
4.4377,20.44677,
4.5101,20.41463,
4.5104,,20.22179
4.5105,,20.19608
4.5829,,20.16394
4.6548,20.38249,
4.7994,20.36321,
