x,Curve1
3.993,0.82874
5.7439,0.86363
5.7532,0.90967
6.9919,0.87802
8.2957,0.91771

x,Curve2
3.9837,0.22898
5.7159,0.38359
5.7299,0.26501
6.9872,0.28055
8.3423,0.31101

