x,Curve1
1.0096,6.4821
4.0148,7.4156
7.0121,7.9451
9.9879,8.506
12.9766,9.0565
14.9802,9.5774
19.9982,10.6381

x,Curve2
0.9995,4.8289
1.9758,4.9634
2.9948,5.2343
4.0225,5.3897
5.0075,5.4613
7.0201,5.7302
8.99,5.9048
11.9964,6.0878
13.9922,6.2099
14.9943,6.2814
20.0045,6.8803
