Tw,eps,Jd
1927.71034622,2.10203527595e-09,0.105669097935
1937.81377136,2.48765413999e-09,0.118150890705
1949.47020021,3.027889347e-09,0.134231362974
1961.24161552,3.5831913415e-09,0.152494787816
1971.64267078,4.24052863291e-09,0.17050730889
1983.64076144,5.01810795391e-09,0.19370641342
1994.24672346,6.1082949559e-09,0.216595285817
2006.47772394,7.22836376227e-09,0.246064521489
2036.04232061,1.10123498503e-08,0.333149372811
2048.70980068,1.30316677845e-08,0.378476570697
2059.90644607,1.54226854103e-08,0.423181818027
2071.20710622,1.82519806635e-08,0.473168690819
2084.25127182,2.22156998933e-08,0.537567494467
2095.77885936,2.62911752456e-08,0.601064391388
2109.08258011,3.11121482811e-08,0.682844789752
2120.84399745,3.68196791752e-08,0.763501685257
2132.71704064,4.35752612954e-08,0.853686669749
2144.70305892,5.1569153193e-08,0.954523664788
2153.33337616,5.76965705877e-08,1.03375185054
2165.51687908,6.82810199847e-08,1.15585831082
2179.58527465,8.31093718737e-08,1.3131731673
2206.37613947,1.13161839889e-07,1.66799214076
2219.07435243,1.33921405939e-07,1.86501358666
2233.74020078,1.63004652398e-07,2.11884896209
2246.70777503,1.92907894085e-07,2.36912513303
2261.68160427,2.2828637925e-07,2.69146663242
2274.92687469,2.70165569028e-07,3.00937978953
2290.22736736,3.28836487047e-07,3.41895984402
2305.69942946,3.89134736264e-07,3.88414111585
2319.38758829,4.60521594835e-07,4.34293170605
2335.19763158,5.4497929154e-07,4.93382793959
2349.1862837,6.44955870303e-07,5.51660641361
2363.31846923,7.63273175871e-07,6.16822205705
