############################
### DOCUMENT
#  [1] P. J. Wilbur, “Advanced Ion Thruster Research,”  NASA CR-168340, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Effect of propellant and insert surface work function on plasma density profile
### DATA
# Id (A), do (mm), dc (mm), P (Torr), phi_wf (eV), x (mm), ne (x10^(-19) m^-3) 
### NOTES
# Fig. 29 p. 84
# x is UPSTREAM of the orifice
############################
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,4.3365,14.5601
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,4.4488,14.0035
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,4.5237,13.6696
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,4.6733,13.1133
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,4.7482,12.7794
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,4.8417,12.4457
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,4.9165,12.1118
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.01,11.7781
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.0849,11.4442
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.1784,11.1104
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.2532,10.7765
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.3281,10.4426
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.4216,10.1089
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.4964,9.775
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.5899,9.4413
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.6834,9.1447
2.3,0.76,4.0,4.0,1.9,2.3,0.76,4.0,4.0,2.5,5.7582,8.8108
