############################
### DOCUMENT
# [1] M. J. Mandell and I. Katz, “Theory of Hollow Cathode Operation in Spot and Plume Modes,” 30th AIAA/ASME/SAE/ASEE Jt. Propuls. Conf., 1994.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron temperature vs. discharge current for various mass flow rates 
### DATA
# Id (A), Te (eV) at mdot = 1 sccm,  Te (eV) at mdot = 6 sccm, Te (eV) at mdot = 10 sccm,
### NOTES
# Lo = 0.076 cm, ro = 0.0368 cm, rc = 0.6 cm
############################
Id,Te_mdot1,Te_mdot6,Te_mdot10
4.6877,2.68271,1.88205,1.73965
4.7167,2.6853,1.88219,1.74003
4.7284,2.6863,1.88237,1.74001
4.7696,2.689,1.88358,1.73963
4.7822,2.68955,1.884,1.73956
4.7938,2.68994,1.88436,1.73952
4.8515,2.69135,1.88565,1.73961
4.8593,2.69175,1.88576,1.73962
4.864,2.69206,1.88581,1.73963
4.9246,2.69722,1.88589,1.7396
4.9334,2.69777,1.88585,1.73959
4.9459,2.69845,1.88579,1.73958
5.0064,2.70086,1.88567,1.73957
5.0153,2.70121,1.8857,1.73957
5.0278,2.70177,1.88577,1.73958
5.0719,2.7045,1.88668,1.7396
5.0933,2.7063,1.88759,1.73957
5.0972,2.70664,1.88778,1.73956
5.1372,2.70996,1.88982,1.73942
5.1751,2.71222,1.89122,1.7395
5.1791,2.71242,1.89131,1.73954
5.2026,2.7136,1.89153,1.73999
5.2445,2.71592,1.89129,1.74135
5.257,2.71663,1.8912,1.74173
5.2681,2.71724,1.89117,1.74205
5.3264,2.72044,1.89123,1.74316
5.3335,2.72088,1.89121,1.74322
5.3389,2.72123,1.89118,1.74325
5.3989,2.72635,1.89082,1.74316
5.4083,2.72758,1.8909,1.74314
5.4208,2.72932,1.89117,1.74313
5.4478,2.73182,1.89256,1.74314
5.4862,2.7333,1.89481,1.74313
5.4902,2.73344,1.89493,1.74312
5.5296,2.73546,1.89526,1.74293
5.5681,2.74152,1.89479,1.74305
5.572,2.74205,1.89473,1.7431
5.5786,2.74276,1.89462,1.74321
5.65,2.746,1.89477,1.74486
5.6539,2.74614,1.89494,1.74491
5.6604,2.74639,1.89529,1.74497
5.7094,2.75004,1.89829,1.74488
5.7154,2.7505,1.89841,1.74486
5.7358,2.75181,1.89827,1.74489
5.7748,2.75368,1.89708,1.7455
5.7973,2.75454,1.89656,1.74608
5.8176,2.75532,1.89654,1.7467
5.8566,2.75731,1.89751,1.74793
5.8792,2.75951,1.89837,1.74845
5.8831,2.76,1.89852,1.74851
5.9056,2.76279,1.89934,1.74878
5.961,2.76741,1.90018,1.74857
5.965,2.76774,1.90011,1.74849
5.971,2.76825,1.89994,1.74837
6.0266,2.77313,1.89834,1.7469
6.0364,2.77372,1.89858,1.74674
6.0469,2.77424,1.89902,1.74665
6.1084,2.77674,1.90197,1.7478
6.1182,2.77736,1.90218,1.74812
6.1288,2.77831,1.90228,1.74846
6.1672,2.78283,1.90205,1.74953
6.1903,2.78408,1.90196,1.75
6.2106,2.78487,1.90233,1.75027
6.2489,2.78647,1.90361,1.75038
6.2557,2.78685,1.90377,1.75037
6.2925,2.78983,1.90403,1.75025
6.3143,2.79193,1.90393,1.75021
6.3376,2.79396,1.90375,1.75021
6.3744,2.79695,1.9035,1.75023
6.3797,2.7974,1.90349,1.75023
6.4195,2.80089,1.90373,1.75021
6.4451,2.80287,1.90428,1.75021
6.4563,2.80359,1.90458,1.75021
6.5014,2.806,1.90554,1.75025
6.5105,2.80651,1.90561,1.75025
6.5382,2.80821,1.9056,1.75019
6.5759,2.81015,1.90549,1.75002
6.5832,2.81042,1.90552,1.75
6.6201,2.81165,1.90608,1.75017
6.6577,2.81378,1.90711,1.75123
6.6651,2.81457,1.90733,1.75147
6.6855,2.81781,1.90794,1.75199
6.7066,2.82108,1.9085,1.75219
6.7469,2.82347,1.90914,1.75211
6.7674,2.82445,1.90915,1.75197
6.7721,2.82472,1.90913,1.75193
6.8288,2.82956,1.90912,1.75175
6.8374,2.83019,1.90925,1.75181
6.8493,2.83089,1.90951,1.75195
6.9028,2.83383,1.91083,1.75319
6.9107,2.83457,1.91093,1.75337
6.9312,2.83692,1.91089,1.75376
6.9682,2.84113,1.91075,1.75398
6.9762,2.84177,1.91091,1.75397
7.0131,2.84371,1.91255,1.75374
7.0336,2.84477,1.91359,1.75357
7.058,2.84656,1.91455,1.75351
7.0786,2.84837,1.91495,1.75372
7.0989,2.85023,1.91503,1.75414
7.1399,2.85334,1.91453,1.75514
7.148,2.85388,1.91438,1.75531
7.1604,2.85471,1.91418,1.75553
7.2054,2.85842,1.91452,1.75579
7.2134,2.85935,1.91482,1.75576
7.2423,2.86392,1.91623,1.75551
7.2623,2.86664,1.91722,1.75528
7.2872,2.86835,1.91815,1.75508
7.3242,2.87009,1.91855,1.75549
7.3277,2.87028,1.91854,1.75562
7.3691,2.87351,1.91813,1.75813
7.3896,2.87543,1.91797,1.75913
7.3931,2.87575,1.91795,1.75924
7.451,2.88064,1.91812,1.75934
7.4585,2.88122,1.91821,1.75926
7.4715,2.88221,1.9184,1.75912
7.5238,2.88669,1.91963,1.75888
7.5328,2.88779,1.91992,1.75892
7.5534,2.89049,1.92068,1.7591
7.5728,2.89216,1.92133,1.7594
7.5983,2.89339,1.92174,1.75994
7.6353,2.89482,1.9215,1.76091
7.6546,2.8958,1.92142,1.76143
7.6802,2.89819,1.92172,1.76208
7.7036,2.90127,1.92262,1.76254
7.7171,2.90265,1.92332,1.76271
7.762,2.90622,1.92535,1.76284
7.769,2.90673,1.9255,1.76282
7.799,2.90899,1.92555,1.7627
7.8343,2.9122,1.92531,1.76263
7.8439,2.91333,1.92534,1.76262
7.8809,2.9175,1.9261,1.76268
7.8833,2.91767,1.92617,1.76268
7.9257,2.91972,1.92714,1.76278
7.9488,2.92131,1.92723,1.76274
7.9628,2.92309,1.92717,1.76266
7.9977,2.92861,1.92705,1.76234
8.0076,2.92955,1.92713,1.76228
8.0447,2.93153,1.92822,1.76264
8.0631,2.93225,1.92878,1.7635
8.0731,2.93268,1.92894,1.76413
8.1101,2.93469,1.92881,1.76628
8.1285,2.93589,1.92871,1.76668
8.155,2.93782,1.92892,1.7667
8.192,2.94115,1.93033,1.76626
8.1939,2.94136,1.93042,1.76623
8.2367,2.94635,1.93256,1.76578
8.2429,2.94683,1.93279,1.76577
8.2739,2.9484,1.93358,1.76624
8.3083,2.95047,1.93417,1.76821
8.3186,2.95146,1.93436,1.76888
8.3393,2.95391,1.93484,1.76988
8.3736,2.95777,1.9357,1.77025
8.4004,2.95948,1.93617,1.77005
8.4212,2.96043,1.93621,1.76986
8.4391,2.96141,1.9361,1.76978
8.4659,2.96415,1.93616,1.76976
8.488,2.96688,1.9366,1.76981
8.5031,2.96843,1.93699,1.76985
8.5478,2.97199,1.93797,1.76984
8.5534,2.97235,1.93802,1.76984
8.5686,2.97323,1.93808,1.76983
8.6188,2.97599,1.93792,1.76985
8.6297,2.97671,1.93795,1.76985
8.6505,2.97828,1.93817,1.76981
8.6842,2.98145,1.93889,1.76969
8.7115,2.98474,1.93976,1.76967
8.7324,2.98686,1.94054,1.76979
8.7332,2.98693,1.94057,1.7698
8.777,2.9894,1.94157,1.77057
8.7986,2.99057,1.94146,1.77113
8.8142,2.99158,1.94131,1.7716
8.8589,2.99548,1.94155,1.773
8.864,2.99603,1.94171,1.77313
8.8797,2.99792,1.94236,1.77341
8.913,3.0015,1.94414,1.77362
8.9407,3.00314,1.94519,1.77354
8.9616,3.00418,1.94535,1.7734
8.9784,3.00514,1.94523,1.77325
9.0226,3.00873,1.94517,1.77307
9.0435,3.01059,1.94612,1.77338
9.0438,3.01061,1.94613,1.77338
9.088,3.0142,1.94881,1.7757
9.1089,3.01605,1.94911,1.77702
9.1091,3.01608,1.94912,1.77703
9.1581,3.02155,1.9488,1.77894
9.1699,3.02259,1.94879,1.77908
9.1907,3.02426,1.949,1.77883
9.2235,3.02702,1.94979,1.77688
9.2517,3.03017,1.9506,1.77522
9.2563,3.03072,1.95072,1.77516
9.2725,3.03249,1.9511,1.7756
9.3215,3.03613,1.95213,1.77879
9.3218,3.03615,1.95214,1.7788
9.3336,3.03728,1.95241,1.77917
9.3868,3.04343,1.9539,1.77906
9.399,3.04503,1.95422,1.77886
9.4036,3.04563,1.95433,1.77878
9.4358,3.0489,1.95503,1.77833
9.4809,3.05132,1.95603,1.77863
9.4855,3.05157,1.95615,1.77876
9.5013,3.05254,1.95657,1.77936
9.5502,3.05801,1.95771,1.78179
9.5627,3.05945,1.95784,1.78226
9.5673,3.05996,1.95785,1.78239
9.6156,3.06531,1.95762,1.78267
9.6282,3.0669,1.95782,1.78255
9.6492,3.06946,1.95857,1.78238
9.6646,3.07078,1.95928,1.78233
9.71,3.07313,1.96146,1.78241
9.73,3.07442,1.96218,1.78236
9.7311,3.07451,1.96221,1.78236
9.779,3.07989,1.96318,1.78195
9.7919,3.08072,1.96327,1.78196
9.813,3.08172,1.96326,1.78234
9.8444,3.08353,1.96318,1.78416
9.8574,3.08483,1.96325,1.78504
9.8784,3.08799,1.96356,1.78598
9.8933,3.09083,1.96388,1.78611
9.9392,3.09787,1.96506,1.78498
9.9604,3.09921,1.96563,1.78413
