############################
### DOCUMENT
# [1] M. J. Mandell and I. Katz, “Theory of Hollow Cathode Operation in Spot and Plume Modes,” 30th AIAA/ASME/SAE/ASEE Jt. Propuls. Conf., 1994.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Electron density vs. discharge current for various mass flow rates 
### DATA
# Id (A), ne (1/m3) at mdot = 1 sccm,  ne (1/m3) at mdot = 6 sccm, ne (1/m3) at mdot = 10 sccm,
### NOTES
# Lo = 0.076 cm, ro = 0.0368 cm, rc = 0.6 cm
############################
Id,ne_mdot1,ne_mdot6,ne_mdot10
3.7254,0.39938,1.33525,1.71503
3.7347,0.40228,1.3371,1.72036
3.7682,0.41224,1.34391,1.73571
3.7728,0.41307,1.34519,1.73748
3.7821,0.41442,1.34823,1.74089
3.8156,0.41759,1.36445,1.75376
3.8295,0.41854,1.37248,1.76142
3.8519,0.41991,1.38562,1.78188
3.861,0.42045,1.39074,1.7888
3.8629,0.42057,1.39182,1.78998
3.9084,0.42401,1.41172,1.80933
3.9103,0.42421,1.41235,1.81031
3.931,0.42675,1.41857,1.82244
3.9557,0.43071,1.42616,1.83671
3.9735,0.43393,1.43288,1.84417
4.0031,0.43928,1.44905,1.85724
4.0101,0.44044,1.45355,1.86302
4.0209,0.44204,1.46026,1.87435
4.0346,0.44375,1.46758,1.88461
4.0683,0.44685,1.48079,1.89913
4.0734,0.44728,1.48249,1.90112
4.0978,0.44943,1.49029,1.91199
4.1293,0.45222,1.50056,1.93936
4.1315,0.4524,1.50132,1.94079
4.1525,0.45412,1.50942,1.95047
4.1767,0.45593,1.52076,1.9599
4.1788,0.45609,1.52185,1.96083
4.224,0.46008,1.54769,1.98727
4.2262,0.46033,1.54923,1.98906
4.2316,0.46096,1.55334,1.99383
4.2555,0.46427,1.5748,2.01465
4.2577,0.4646,1.5766,2.016
4.3029,0.47293,1.60312,2.03518
4.3051,0.4734,1.60398,2.03594
4.3106,0.47465,1.60611,2.03795
4.3503,0.4842,1.61871,2.05571
4.3683,0.48754,1.62451,2.07096
4.3739,0.48833,1.62657,2.07631
4.3818,0.48927,1.62976,2.08309
4.4156,0.492,1.64504,2.10391
4.4292,0.49297,1.65051,2.11046
4.453,0.49518,1.66043,2.12057
4.463,0.49652,1.66557,2.12478
4.4766,0.49884,1.67406,2.13099
4.5104,0.50715,1.69295,2.14987
4.5162,0.50886,1.69509,2.15349
4.5239,0.51115,1.69757,2.15837
4.5555,0.51936,1.70655,2.1789
4.5736,0.52206,1.71348,2.1894
4.5795,0.52255,1.71713,2.19275
4.6028,0.52298,1.73939,2.20628
4.6051,0.52294,1.74086,2.20766
4.6501,0.5222,1.75652,2.23365
4.6586,0.52254,1.75876,2.23746
