x,phip_8sccm,phip_10sccm,phip_12sccm,Te_8sccm,Te_10sccm,Te_12sccm
3.9427,,,,,,2.8029
3.9703,,,,3.1733,,
3.9706,,,,,3.3511,
4.0091,,,10.2104,,,
4.0417,13.5289,,,,,
4.0421,,13.766,,,,
7.9479,,10.717,,,,
7.9616,,,,,2.8207,
7.9619,,,,3.0133,,
7.9714,,,8.6133,,,
7.9783,12.7022,,,,,
7.9876,,,,,,2.2578
13.9572,,,7.4029,,,
13.9745,,,,,,1.6696
13.985,,7.9215,,,,
14.0021,,,,,2.0548,
14.0026,,,,2.3363,,
14.0132,8.603,,,,,
19.9891,,,,,1.5407,
19.9993,,7.5852,,,,
21.0135,,,,,,1.2304
21.0141,,,,1.5859,,
21.0233,,,7.023,,,
21.0511,7.5119,,,,,
26.9747,,,,,1.3978,
26.9822,,5.8126,,,,
27.9827,7.3096,,,,,
27.9996,,,,1.3541,,
28.0063,,,5.3244,,,
28.0263,,,,,,1.2059
35.0122,,,,1.2259,,
