x,20A,30A,40A,50A,60A,70A,80A,100A,90A
1.21615,,,,20.72518,,,,,
1.21689,20.5771,,,,,,,,
1.22816,,20.66028,,,,,,,
1.24346,,,,,20.78094,,,,
1.2482,20.58989,,,,,,,,
1.25466,,,20.67033,,,,,,
1.25629,,,,20.73432,,,,,
1.26838,,,,,,,,,20.8632
1.27794,,20.67856,,,,,,,
1.28202,,,,,,,20.84172,,
1.28605,,,,,,,,20.88331,
1.28682,,,,,20.79007,,,,
1.28915,20.5972,,,,,,,,
1.29082,,,,20.74345,,,,,
1.29486,,,,,,20.81384,,,
1.30604,,,20.68038,,,,,,
1.31404,20.60634,,,,,,,,
1.31731,,,,20.74802,,,,,
1.33174,,20.69318,,,,,,,
1.339,,,,,20.79464,,,,
1.34535,20.61548,,,,,,,,
1.34619,,,20.69592,,,,,,
1.34862,,,,20.75533,,,,,
1.3567,,,,,,,,20.8833,
1.36792,,,,,,20.82206,,,
1.37033,,,,,,,20.84674,,
1.37511,,,,20.74619,,,,,
1.37516,,,,,,,,,20.86319
1.37587,20.62553,,,,,,,,
1.3775,,20.70688,,,,,,,
1.38075,,,,,20.79646,,,,
1.39517,,,20.70779,,,,,,
1.39519,,,,20.75624,,,,,
1.41119,20.63467,,,,,,,,
1.42248,,,,20.76263,,,,,
1.42574,,,,,,,,20.86867,
1.42972,,,,,20.7992,,,,
1.4337,,20.7151,,,,,,,
1.43455,,,,,,20.82753,,,
1.44173,,,20.71144,,,,,,
1.44572,20.63923,,,,,,,,
1.45059,,,,20.7736,,,,,
1.47149,,,,,,,20.85038,,
1.47387,,,,20.7736,,,,,
1.47388,,,,,20.80376,,,,
1.47786,,20.71967,,,,,,,
1.47792,,,,,,,,,20.86135
1.48345,20.6502,,,,,,,,
1.49311,,,20.71509,,,,,,
1.49795,,,,20.76445,,,,,
1.4996,,,,,,,,20.86683,
1.50038,,,,,,20.8257,,,
1.51161,,,,,20.79919,,,,
1.526,20.65111,,,,,,,,
1.52846,,,,20.77176,,,,,
1.53004,,20.72423,,,,,,,
1.53566,,,20.71966,,,,,,
1.55576,,,,20.77907,,,,,
1.55739,,,,,,,20.84489,,
1.56379,,,,,20.8001,,,,
1.5638,,,,,,20.82386,,,
1.56542,,,,,,,,20.8522,
1.56775,20.65476,,,,,,,,
1.57743,,,,20.77633,,,,,
1.58865,,20.72788,,,,,,,
1.59266,,,20.7224,,,,,,
1.59348,,,,20.76627,,,,,
1.59751,,,,,20.79918,,,,
1.60869,20.65475,,,,,,,,
1.6264,,,,20.77449,,,,,
1.63606,,,,,,,,20.83574,
1.6392,20.65475,,,,,,,,
1.64084,,20.73062,,,,,,,
1.64168,,,,,,,20.83208,,
1.64324,,,20.72148,,,,,,
1.65051,,,,,,,,,20.83848
1.6521,,,,,20.7946,,,,
1.65933,,,,,,20.81105,,,
1.66654,,,,20.77083,,,,,
1.67372,20.65657,,,,,,,,
1.68418,,,20.7169,,,,,,
1.69783,,20.72695,,,,,,,
1.70342,20.65474,,,,,,,,
1.70428,,,,,20.78728,,,,
1.71069,,,,20.76809,,,,,
1.72597,,,,,,,,20.81744,
1.73556,,20.72421,,,,,,,
1.73636,,,20.71461,,,,,,
1.73794,20.6456,,,,,,,,
1.75565,,,,20.76168,,,,,
1.76047,,,,,20.77631,,,,
1.76122,20.64377,,,,,,,,
1.77734,,,,,,,,20.79367,
1.78855,,20.71597,,,,,,,
1.78975,,,20.71323,,,,,,
1.79173,20.63645,,,,,,,,
1.82389,,,,,20.76533,,,,
1.83668,20.63005,,,,,,,,
1.83673,,,,,,,,20.76259,
1.83711,,,20.7114,,,,,,
1.84313,,20.69952,,,,,,,
1.87762,20.61907,,,,,,,,
1.87928,,,,,,,,,20.76532
1.88567,,20.68671,,,,,,,
1.89251,,,20.70728,,,,,,
1.89613,,,,,,,,20.74064,
1.91695,20.60627,,,,,,,,
1.91778,,20.67483,,,,,,,
1.92863,,,20.7059,,,,,,
