x,Curve1
0.45732,20.42879
0.49919,20.45388
0.53664,20.47548
0.58495,20.50757
0.62441,20.53383
0.6683,20.55951
0.71702,20.58927
0.76373,20.61262
0.81204,20.63655
0.84908,20.65581
0.89539,20.67915
0.94612,20.706
0.99041,20.72584
1.04638,20.74744
1.09147,20.76554
1.15187,20.78247
1.22796,20.79241
1.28916,20.79593
1.35197,20.80178
1.41316,20.78896
1.45181,20.78198
1.52267,20.768
1.5573,20.75168
1.60078,20.72952
1.65392,20.69921
1.6821,20.67238
1.71833,20.64439
1.75698,20.61057
1.78194,20.58608
1.81254,20.55926
1.84313,20.53827
1.90755,20.47529
1.95103,20.43914
1.99128,20.39715
2.01222,20.37033
2.04764,20.32484
2.0718,20.28518
2.09434,20.26302
2.1193,20.2397
2.14184,20.19071
2.16761,20.16155
2.18693,20.12073
2.20947,20.0904
2.24248,20.04025
2.26905,19.99009
2.29401,19.9551
2.31816,19.91544
2.33909,19.88978
2.36244,19.86179
2.38257,19.82213
2.39948,19.7918
2.42766,19.76848
2.45181,19.71949
2.48563,19.688
2.51058,19.63551
2.54601,19.60402
2.56533,19.5737
2.5919,19.54687
2.61525,19.52471
2.64665,19.49206
2.67242,19.45473
2.70462,19.41741
2.74005,19.38709
2.76662,19.3661
2.79883,19.33461
2.82459,19.30895
2.85599,19.27396
2.88095,19.23547
2.94053,19.155
2.97757,19.11184
3.0146,19.06752
3.04519,19.01037
3.08303,18.93688
3.11765,18.89023
3.14181,18.83774
3.18287,18.78409
3.24567,18.68844
3.29961,18.58463
3.3463,18.46098
3.38575,18.38167
3.41875,18.30235
3.45659,18.23819
3.50812,18.18454
3.55321,18.11923
3.57978,18.07724

x,Curve2
0.40942,20.55127
0.44968,20.57753
0.47787,20.59212
0.50565,20.59854
0.53222,20.59797
0.56201,20.61781
0.58819,20.64465
0.61074,20.66099
0.64617,20.6785
0.67113,20.68492
0.69408,20.68493
0.74602,20.71644
0.80843,20.74504
0.86198,20.76489
0.89379,20.77715
0.97029,20.8075
1.02504,20.82152
1.08061,20.83437
1.11846,20.85654
1.15791,20.86239
1.20864,20.86473
1.29078,20.88576
1.35278,20.89394
1.41559,20.89629
1.47276,20.89164
1.5404,20.87416
1.59274,20.84968
1.6491,20.82053
1.70546,20.79022
1.77793,20.72724
1.86247,20.66544
1.90917,20.59195
1.9615,20.5488
2.0235,20.46483
2.07181,20.41934
2.11367,20.35403
2.15152,20.30971
2.20626,20.21056
2.2433,20.14757
2.27309,20.10208
2.29321,20.06126
2.33105,19.99827
2.35601,19.96212
2.38338,19.91429
2.41237,19.86647
2.4341,19.82331
2.45504,19.79182
2.48966,19.76617
2.51703,19.72534
2.54119,19.68802
2.56373,19.65653
2.59272,19.62737
2.61687,19.60054
2.64183,19.57955
2.67001,19.53056
2.71107,19.50374
2.74731,19.47809
2.77307,19.43493
2.77388,19.45943
2.80447,19.41161
2.81172,19.40578
2.82218,19.37078
2.86969,19.3498
2.90028,19.32881
2.9341,19.25182
2.97677,19.218
2.99368,19.17484
3.03796,19.12119
3.07097,19.07104
3.09754,19.02555
3.12571,18.96956
3.16194,18.91357
3.19818,18.87042
3.23521,18.8156
3.28593,18.74912
3.29398,18.70596
3.33102,18.6348
3.36483,18.59631
3.41636,18.5135
3.44293,18.47734
3.57817,18.1449
3.66352,18.03526
3.74402,17.8813

x,Curve3
0.3607,20.5985
0.40741,20.61368
0.44365,20.62302
0.4678,20.63586
0.51049,20.66854
0.54833,20.68488
0.5894,20.70006
0.63047,20.71057
0.66912,20.72692
0.70777,20.73743
0.74965,20.75611
0.79152,20.76428
0.84869,20.77947
0.90184,20.80048
0.92842,20.80982
0.9727,20.81917
1.01458,20.82035
1.04679,20.83086
1.1096,20.83904
1.17643,20.85189
1.24407,20.85308
1.30446,20.85543
1.59918,20.81585
1.87214,20.7016
1.9736,20.66897
2.02191,20.65265
2.06217,20.64333
2.12497,20.62468
2.21596,20.59204
2.26669,20.56523
2.34882,20.51975
2.4076,20.49177
2.48006,20.44046
2.55817,20.37399
2.61936,20.33784
2.66123,20.31452
2.71276,20.27487
2.75141,20.23405
2.79811,20.19207
2.83112,20.15474
2.88426,20.1186
2.93659,20.06378
2.99296,20.00897
3.02758,19.96815
3.063,19.93199
3.10568,19.88301
3.14271,19.82585
3.17089,19.79086
3.19665,19.76054
3.22564,19.69755
3.27475,19.64623
3.30776,19.59841
3.33433,19.57042
3.36492,19.5296
3.39471,19.48761
3.41323,19.45962
3.44544,19.4188
3.47201,19.38031
3.49777,19.35465
3.52273,19.28932
3.54929,19.24384
3.55896,19.22401
3.59197,19.19018
3.61612,19.14119
3.63383,19.08637
3.65959,19.05371
3.68777,19.00589
3.71032,18.98256
3.7401,18.93474
3.76345,18.89158
3.78036,18.84959
3.79646,18.79826
3.82061,18.74811

x,Curve4
0.37601,20.69183
0.43882,20.71752
0.5121,20.74437
0.56686,20.77005
0.62484,20.79223
0.68362,20.80392
0.73436,20.82027
0.8487,20.8413
0.90426,20.85648
0.98801,20.87634
1.06129,20.88102
1.11685,20.88687
1.15872,20.88689
1.21992,20.8904
1.3705,20.89161
1.42847,20.87763
1.5106,20.84616
1.65232,20.7867
1.73606,20.75523
1.7892,20.71908
1.83671,20.70043
1.92447,20.65145
2.01305,20.61648
2.07344,20.5955
2.12094,20.57102
2.17248,20.55003
2.21113,20.53371
2.26668,20.50573
2.33271,20.47308
2.37458,20.4451
2.43416,20.39962
2.49213,20.34714
2.55816,20.30399
2.61533,20.27251
2.65156,20.23052
2.69021,20.19087
2.74093,20.15822
2.80454,20.10924
2.87378,20.0416
2.91082,20.00661
2.99295,19.91914
3.08795,19.80484
3.17008,19.6952
3.28279,19.51908
3.40678,19.32779
3.5203,19.1505
3.6161,18.9732
3.81013,18.62211

