############################
### DOCUMENT
#  [1] P. J. Wilbur, “Advanced Ion Thruster Research,”  NASA CR-168340, 1984.
### SOFTWARE
# Plot digitized using Engauge Digitizer
### CAPTION
# Effect of propellant and insert surface work function on plasma density profile
### DATA
# x(mm), ne (m^-3 x10^-19), phi_wf (eV), Id (A), P (Torr), do (mm), dc (mm)
### NOTES
# The plot is for a work function of 1.9 eV  and 2.5 eV for xenon 
# p.84
############################
x,ne,phi_wf,Id,P,do,dc
9.2671,230.2751,1.9,2.3,4.0,0.76,4.0
9.3603,250.2154,1.9,2.3,4.0,0.76,4.0
9.4536,271.2705,1.9,2.3,4.0,0.76,4.0
9.5468,293.4707,1.9,2.3,4.0,0.76,4.0
9.64,316.846,1.9,2.3,4.0,0.76,4.0
9.7332,341.4268,1.9,2.3,4.0,0.76,4.0
9.8264,367.243,1.9,2.3,4.0,0.76,4.0
9.9196,394.3249,1.9,2.3,4.0,0.76,4.0
0.0386,12.1417,2.5,2.3,4.0,0.76,4.0
0.1318,11.9733,2.5,2.3,4.0,0.76,4.0
0.225,12.5817,2.5,2.3,4.0,0.76,4.0
0.3182,13.3105,2.5,2.3,4.0,0.76,4.0
0.4115,13.9866,2.5,2.3,4.0,0.76,4.0
0.5047,14.7134,2.5,2.3,4.0,0.76,4.0
0.5979,15.4658,2.5,2.3,4.0,0.76,4.0
0.6911,16.3743,2.5,2.3,4.0,0.76,4.0
0.7843,17.1978,2.5,2.3,4.0,0.76,4.0
0.8775,18.0453,2.5,2.3,4.0,0.76,4.0
0.9708,18.6385,2.5,2.3,4.0,0.76,4.0
1.064,19.2285,2.5,2.3,4.0,0.76,4.0
1.1572,19.7461,2.5,2.3,4.0,0.76,4.0
1.2504,20.1618,2.5,2.3,4.0,0.76,4.0
1.3436,20.504,2.5,2.3,4.0,0.76,4.0
1.4368,20.7613,2.5,2.3,4.0,0.76,4.0
1.5301,20.9704,2.5,2.3,4.0,0.76,4.0
1.6233,21.1291,2.5,2.3,4.0,0.76,4.0
1.7165,21.2449,2.5,2.3,4.0,0.76,4.0
1.8097,21.2966,2.5,2.3,4.0,0.76,4.0
1.9029,21.3183,2.5,2.3,4.0,0.76,4.0
1.9962,21.3402,2.5,2.3,4.0,0.76,4.0
2.0894,21.3344,2.5,2.3,4.0,0.76,4.0
2.1826,21.2861,2.5,2.3,4.0,0.76,4.0
2.2758,21.2158,2.5,2.3,4.0,0.76,4.0
2.369,21.1275,2.5,2.3,4.0,0.76,4.0
2.4622,21.0143,2.5,2.3,4.0,0.76,4.0
2.5555,20.8793,2.5,2.3,4.0,0.76,4.0
2.6487,20.7215,2.5,2.3,4.0,0.76,4.0
2.7419,20.549,2.5,2.3,4.0,0.76,4.0
2.8351,20.3403,2.5,2.3,4.0,0.76,4.0
2.9283,20.0888,2.5,2.3,4.0,0.76,4.0
3.0215,19.8436,2.5,2.3,4.0,0.76,4.0
3.1148,19.5158,2.5,2.3,4.0,0.76,4.0
3.208,19.1792,2.5,2.3,4.0,0.76,4.0
3.3012,18.8868,2.5,2.3,4.0,0.76,4.0
3.3944,18.4825,2.5,2.3,4.0,0.76,4.0
3.4876,18.1495,2.5,2.3,4.0,0.76,4.0
3.5809,17.7216,2.5,2.3,4.0,0.76,4.0
3.6741,17.3362,2.5,2.3,4.0,0.76,4.0
3.7673,16.9347,2.5,2.3,4.0,0.76,4.0
3.8605,16.5244,2.5,2.3,4.0,0.76,4.0
3.9537,16.1893,2.5,2.3,4.0,0.76,4.0
4.0469,15.7679,2.5,2.3,4.0,0.76,4.0
4.1402,15.3446,2.5,2.3,4.0,0.76,4.0
4.2334,14.9944,2.5,2.3,4.0,0.76,4.0
4.3266,14.6088,2.5,2.3,4.0,0.76,4.0
4.4198,14.1489,2.5,2.3,4.0,0.76,4.0
4.513,13.7101,2.5,2.3,4.0,0.76,4.0
4.6062,13.3673,2.5,2.3,4.0,0.76,4.0
4.6995,13.0023,2.5,2.3,4.0,0.76,4.0
4.7927,12.6213,2.5,2.3,4.0,0.76,4.0
